ONEOFF_PURCHASES,PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
45.65,0.083333,0,312.560636,0,12
405.6,0.166667,0,,0,12
213.34,0.25,0,,0,12
0,0,0,2906.110765,0,12
739.44,0.666667,0,389.138517,0,12
0,0,0,,0,12
0,0.25,0.166667,121.781205,1,12
0,0,0,,0,7
20,0.111111,0,60.913577,0,9
0,1,1,54.79166,0,12
1540.41,0.916667,0.833333,2103.796148,0.083333,12
0,1,1,,0,12
0,0,0,214.828158,0.083333,12
808,0.25,0,1026.976,0,12
0,1,1,176.610605,0.083333,12
0,0,0,1439.230899,0,12
177.64,0.666667,0.5,498.365419,0,12
2721.59,1,1,2469.571326,0.083333,12
585.63,0.916667,0.833333,108.319927,0,12
0,0,0,,0,12
857.12,1,1,1834.031569,0,12
0,0,0,2760.115734,0,12
1252.36,0.666667,0.333333,136.639824,1,12
667.95,1,1,207.720441,0,12
0,0.583333,0.5,99.372848,0.333333,12
0,0,0,2439.136113,0,12
0,0.166667,0.166667,147.049952,1,12
0,0,0,709.207016,0,12
4100.08,1,1,2167.446204,0,12
1174.39,0.25,0,,0,12
0,1,1,630.00413,0,12
0,0,0,1412.648089,0,12
0,0,0,3406.258999,0,12
12462.44,0.916667,0,2000.990921,0,12
0,0,0,84.697292,0.166667,8
1077.3,0.833333,0.583333,1086.428906,0,12
150.64,0.083333,0,2894.077159,0,12
0,0,0,,0,12
907,0.25,0,,0,12
351.54,0.833333,0.833333,3572.279251,0,12
0,0.583333,0.5,173.632006,0,12
796.33,0.083333,0,2600.875721,0.083333,12
0,0.916667,0.916667,185.091037,0,12
1169.63,0.5,0.25,709.610053,0,12
1390.5,1,1,615.92402,0,12
714.52,0.916667,0.916667,184.524376,0,12
9449.07,1,1,18621.01331,0,12
720.6,1,0,689.118919,0,12
148.66,0.333333,0.166667,509.384182,0,12
0,0,0,172.959728,0,12
0,0,0,,0,12
1300.48,0.666667,0.583333,3068.125648,0,12
3436.53,1,1,546.439139,0,12
1025,0.083333,0,819.682666,0,12
0,0.833333,0.833333,,0,12
28.65,0.083333,0,194.324456,0.083333,12
164.96,0.5,0.416667,992.652486,0,12
80,0.833333,0.833333,468.196732,0.083333,12
0,0.583333,0.5,12854.9397,0,12
3322.28,1,1,329.29648,0,12
0,1,1,193.011166,1,12
3959.81,1,1,6042.391629,0,12
789.53,1,1,95.342224,0.636364,12
0,0.333333,0.25,288.903628,0.25,12
3262.25,1,0.5,,0,12
0,0,0,2827.997525,0,12
5087.31,1,0.666667,1058.128452,0.25,12
295,0.083333,0,362.838185,0,12
0,0,0,721.798576,0,12
0,0,0,1177.149934,0,12
115,1,1,208.298424,0,12
525.64,0.25,0.166667,616.005839,0,12
0,1,0.833333,86.102479,0.5,6
0,0,0,1972.526015,0,12
0,1,1,243.199498,0,12
4330.53,0.916667,0.75,241.894073,0.916667,12
0,1,1,1747.037345,0,12
1393.5,0.666667,0.333333,167.219681,0,12
0,0,0,193.171404,0,9
7141.38,1,0.833333,347.641073,0.75,12
0,0.25,0.166667,43.452683,0.181818,12
0,0,0,461.365626,0.2,7
4685.54,1,1,3192.306018,0,12
0,0,0,408.799147,0,12
766.61,0.833333,0,,0,12
0,0,0,1739.74883,0,12
1614.7,1,0.916667,186.230835,1,12
0,0.416667,0.416667,189.036967,0.166667,12
150.5,1,1,303.361632,0,12
0,0.083333,0.083333,,0,12
0,0.25,0.166667,931.618475,0.166667,12
173,0.083333,0.083333,,0,12
493,0.666667,0.416667,136.827952,0,12
0,0.833333,0.75,197.638558,0.142857,12
0,0.166667,0.166667,374.595505,0,12
159.07,1,0.916667,693.894717,0,12
969.56,0.416667,0,,0,12
311.45,0.333333,0,286.299328,0,12
280.4,0.25,0,55.79974,0.090909,12
66.14,0.083333,0,,0,12
79.2,0.083333,0,24.815878,0.083333,12
0,0.5,0.5,1755.253802,0,12
756.54,0.5,0,1431.201171,0,12
603.75,0.916667,0.833333,1825.176503,0,12
56.8,0.75,0.666667,187.046284,0.888889,12
1082.79,1,0.583333,182.429461,0.545455,12
873,0.166667,0,762.682834,0,12
0,0.166667,0.166667,3463.174962,0,12
370,0.166667,0,68.725483,0,12
313.75,0.5,0.416667,313.052687,0,12
0,0.833333,0.833333,169.78292,0.818182,12
842.8,0.333333,0.166667,2557.044576,0,12
8208,1,1,2925.275522,0,12
0,0.083333,0.083333,29.700051,0.090909,12
645.32,0.166667,0,808.217224,0,12
862.1,0.333333,0.083333,2391.987571,0,12
978.71,0.833333,0.666667,1887.413517,0,12
600,0.25,0.166667,59.04439,0.222222,12
153.72,0.916667,0.166667,1731.549385,0,12
876.13,0.5,0.083333,941.496383,0,12
0,0,0,647.20869,0,12
336.41,0.75,0,217.027653,0,12
0,0.25,0.166667,48.659935,0,12
0,0.166667,0.083333,,0,12
103.1,1,0.916667,471.496776,0,12
67.08,0.333333,0.166667,75.515008,0.111111,12
441.35,0.5,0.25,2661.324808,0,12
3456.25,1,1,582.589765,0,12
6099.16,1,1,8517.258683,0,12
1792.7,1,0.083333,985.954762,0,12
75.99,0.142857,0,99.401747,0,7
1598.56,1,0.75,1370.519926,0,12
9325.22,0.333333,0,1824.680131,0,12
100,0.083333,0,104.857518,0,12
430.69,1,0.833333,3868.70983,0,12
1356.33,0.833333,0.75,739.224894,0,12
0,0,0,25.537,0.5,9
1158.84,0.75,0.583333,726.696049,0.363636,12
482,0.75,0.583333,438.324017,0,12
0,1,1,2733.317012,0.083333,12
1038.81,0.916667,0,422.331098,0,12
45.65,0.083333,0,628.211031,0,12
1386.3,0.833333,0.75,1075.456585,0,12
1189.52,1,0,,0,12
0,0.5,0.416667,1774.584333,0,12
42.88,0.333333,0.25,975.504012,0,12
0,0.5,0.416667,69.921472,0,12
83,0.583333,0.333333,1089.040271,0,12
1112.2,0.25,0,,0,12
1670.5,0.5,0.333333,169.879335,1,12
4783.34,1,0.916667,318.305326,0.166667,12
630.03,0.090909,0,213.369694,0,11
2080.02,1,1,1328.897516,0,12
0,0.25,0.166667,41.436595,0.181818,12
1023.42,1,0.75,236.619362,0,12
0,1,1,75.967742,0,12
0,1,1,2501.560923,0,12
3543.73,1,0.5,1912.298544,0,12
1041.63,0.25,0,716.70488,0,12
0,1,1,1382.292833,0.083333,12
0,0.416667,0.416667,71.965063,0.25,12
1703.23,1,0,183.298253,1,12
0,0,0,1249.937085,0,12
0,0.363636,0.272727,149.977816,0.5,11
29.68,0.083333,0,75.595199,0,12
1096.71,0.833333,0.416667,229.655091,0,12
0,1,1,2216.638394,0,12
0,0,0,568.063083,0.083333,12
3183,0.166667,0,629.080506,0,12
1340.34,1,1,655.633916,0,12
4944.88,1,0.75,1737.893866,0.083333,12
4072.76,1,0.833333,7256.951816,0,6
74.8,0.5,0.5,312.343947,0,12
200,1,1,9952.672511,0,12
657.78,1,1,289.439818,0,12
560.73,0.916667,0,670.049653,0,12
569.9,0.166667,0,92.012927,0.083333,12
6099.08,0.916667,0.25,608.36886,0.083333,12
3016.98,1,1,208.73456,0.916667,12
150.8,0.166667,0,989.783286,0,12
1005.1,1,0.75,193.369942,0.833333,12
26547.43,1,1,1971.129435,0.083333,12
44.71,0.916667,0.916667,1055.547896,0.083333,12
47.95,0.083333,0,86.245988,0,12
126.57,0.25,0,524.426392,0,12
380.89,0.083333,0,,0,12
0,0.75,0.666667,570.250342,0.5,12
630,1,1,479.831475,0,12
4332.65,0.5,0.333333,1741.158024,0,12
0,1,1,1623.389428,0,12
148.12,0.583333,0.416667,272.270427,0,12
922.84,1,1,2173.680619,0,12
0,0,0,144.621645,0.181818,12
0,0,0,1793.262654,0.083333,12
0,0,0,609.206784,0,12
351.87,0.583333,0.083333,1114.588285,0,12
843.34,0.5,0,122.850835,0.5,12
0,0,0,2019.027883,0,12
758.52,1,0.666667,233.614975,1,12
399.41,0.416667,0.166667,2092.915898,0,12
1779,0.166667,0,761.012234,0,12
0,0,0,1229.820066,0,12
0,1,0.916667,163.287618,0.333333,12
2252.37,0.75,0.75,197.416104,1,12
245.98,0.166667,0,388.258009,0,12
0,0,0,1351.998523,0,12
733.9,1,0,857.535876,0,12
1641.07,0.666667,0,137.046292,0.636364,12
674.73,0.25,0,1403.477006,0,12
1526.31,1,1,1013.086448,0.083333,12
0,0,0,964.118618,0,12
1462.35,0.583333,0.25,199.955286,0,12
0,0,0,2576.552758,0,12
451.5,1,1,165.05215,1,12
446.07,1,0.666667,173.686552,0.666667,12
544.45,1,1,186.240772,0.833333,12
0,0,0,648.139459,0,11
303.7,0.666667,0.583333,,0,12
459.02,0.916667,0.083333,162.94308,0.909091,12
1296.68,1,1,956.330023,0,12
2399.78,1,1,,0,12
0,0,0,339.553093,0,12
0,0,0,627.015802,0,12
0,0,0,137.6915,0,11
0,0,0,1148.631716,0,7
126.2,0.833333,0,417.290247,0,12
0,1,1,286.122587,0.166667,12
159,0.833333,0.75,,0,12
0,0.083333,0.083333,1172.289863,0,12
350,0.75,0.666667,2199.077716,0,12
0,0,0,2488.976669,0,12
445.2,0.166667,0,579.587654,0,12
0,0,0,401.970276,0,12
0,1,1,148.28357,0.333333,12
420.6,0.666667,0.666667,1479.309409,0.1,12
678,1,0,1933.173023,0,12
0.05,0.083333,0,367.409536,0,12
3032.97,1,0.083333,192.66679,1,12
0,0,0,1122.076137,0,12
1080,0.75,0,169.005281,1,12
2417.41,1,1,280.821958,0.083333,12
1383.56,1,0.833333,197.186568,0.583333,12
0,0,0,2077.873573,0,11
0,0.25,0.166667,797.250949,0,12
0,0.166667,0.166667,53.655347,0,12
4397.64,0.916667,0.5,163.459999,1,12
0,0.333333,0.25,149.301101,0.75,12
0,1,1,890.639118,0.090909,12
216.94,0.166667,0,300.210049,0,12
2246.3,0.333333,0,406.790252,0.8,12
361.73,0.166667,0,432.68808,0,12
330,0.1,0,85.297166,0,10
1797.96,1,0.916667,176.283228,1,12
90,0.5,0.5,74.667401,0,12
422.18,1,0,440.30634,0,12
464.5,1,0.833333,237.328382,0,12
959.1,1,1,834.025674,0,12
0,0.666667,0.666667,155.792859,0.8,12
0,0,0,1164.178674,0,12
2480.85,1,0.5,563.827502,0,12
905.17,0.5,0.416667,4951.58548,0,12
1098.31,0.083333,0,,0,12
636.15,0.166667,0,57.150516,0.181818,12
1702.62,1,1,444.12429,0.166667,12
202.97,1,1,185.657751,1,12
0,0.333333,0.333333,2463.472147,0,12
0,0,0,214.263752,0.2,12
0,0,0,529.340488,0,12
603.77,0.666667,0.25,219.465695,0,12
0,0,0,354.381003,0,12
287,0.625,0.375,134.448872,0,8
4719.5,0.916667,0.666667,762.263884,0.416667,12
439.38,0.083333,0,265.708814,0,12
0,1,1,1300.596775,0,12
259.13,0.083333,0,2503.374595,0.25,12
0,1,1,7490.453967,0,12
0,0,0,2459.741299,0,12
0,0,0,2384.817152,0.083333,12
5439.96,1,0.25,202.73209,0.833333,12
0.02,1,1,3598.719728,0,12
0,0,0,,0,12
3529.88,1,1,373.931063,0.083333,12
0,1,1,3073.416298,0,12
64.12,0.166667,0,76.462301,0,12
2762.92,0.916667,0.833333,2861.890896,0,12
0,0.583333,0.583333,157.269321,1,12
180.91,0.166667,0,220.455533,0,12
0,0,0,559.030296,0,12
0,0.166667,0.166667,3430.627754,0,12
0,0,0,190.365154,0,12
343.21,0.25,0,3245.693485,0,12
16.5,0.083333,0,67.1925,0,12
4584.78,1,0.75,232.131169,1,12
42.3,0.1,0,645.320421,0,10
46.67,0.083333,0,642.547142,0,12
0,0,0,27631.45072,0,12
0,1,1,183.858351,0.583333,12
0,0.583333,0.5,165.308304,0,12
98,0.166667,0,221.375942,0,12
857.36,1,0,411.871046,0.083333,12
1247.12,0.25,0.166667,481.558276,0.1,12
1137.4,1,1,17494.90735,0,12
0,0.5,0.416667,184.776562,0,12
0,0,0,724.956358,0,12
5,0.666667,0.5,1121.510137,0,12
1180,0.333333,0.166667,106.039362,0.25,6
0,0,0,1606.963379,0,12
199.65,1,0.833333,483.836254,0,12
223,0.75,0.666667,212.770698,0,12
0,0.916667,0.916667,1430.50774,0,12
260,0.875,0.75,1241.283569,0,8
1063.14,1,0.833333,208.701639,0.25,12
0,0,0,,0,12
518.39,0.416667,0.333333,994.384835,0,12
330,0.333333,0.25,,0,12
0,0,0,671.420908,0,12
0,0,0,691.692633,0,12
97.92,0.25,0.166667,248.700571,1,12
0,0,0,291.307669,0,11
279.99,1,0.583333,179.894243,0.4,12
0,0.125,0.125,,0,8
340,0.083333,0,2009.821743,0,12
0,1,1,173.336309,0,12
290,1,1,199.730537,0,12
226.23,0.166667,0,4980.192685,0,12
2267,1,0.916667,1868.983718,0,12
1028,0.583333,0.416667,98.678839,0.333333,12
67.9,1,1,982.544984,0,12
64.99,0.5,0.416667,263.163209,0.2,12
0,0,0,479.771774,0,12
0,0,0,,0,12
2643.53,0.916667,1,1365.123434,0,12
0,0.833333,0.833333,362.970189,0,12
431.01,0.5,0.333333,858.977427,0,12
0,0,0,269.178995,0,12
0,0,0,631.106468,0,11
137.34,0.083333,0,1716.092764,0,12
0,0,0,1886.223361,0,12
0,0,0,1035.039239,0,11
0,1,1,1284.011712,0,12
1377.72,0.25,0,200.759856,0,12
0,0,0,1855.766226,0,12
0,0,0,277.582819,0.125,12
360.7,0.083333,0,2610.053885,0,12
0,0.916667,0.833333,1225.908506,0,12
1376,1,1,1194.234398,0,12
0,0,0,204.676682,0,12
759.15,1,0,1384.111493,0,12
243.36,0.083333,0,134.985783,0.25,12
0,0,0,1943.431564,0.1,10
0,0,0,373.893161,0,12
0,0.818182,0.636364,210.248259,0,11
3055.87,0.75,0,784.387878,0,12
457.73,0.5,0.5,3024.949485,0,12
480,1,1,179.585842,0,12
903.36,0.25,0,41.302445,0,12
0,0,0,327.072615,0,12
54,0.5,0.416667,157.471831,0.714286,12
1476.19,1,0,382.989143,0,12
2506.89,0.75,0,1646.973276,0,12
492.46,0.75,0.666667,5620.295192,0,12
0,0.833333,0.833333,1206.257247,0,6
1037.96,0.875,0.5,312.026316,0,8
186.32,0.636364,0.545455,97.186371,0.666667,11
0,1,1,137.826186,0.454545,12
752.28,0.666667,0.416667,177.766827,0,12
34.65,0.333333,0.25,411.612521,0,12
2688.46,0.333333,0.416667,606.899183,0.5,12
1892.38,0.916667,0.333333,301.000749,0,12
291.41,1,1,180.338402,0.333333,12
457.62,0.833333,0.75,568.410749,0,12
167.4,1,1,261.258072,0,12
0,0,0,286.374289,0,12
0,0,0,1189.693931,0,12
1077.75,1,0.833333,466.772558,0,12
0,1,1,199.803721,0.25,12
2816.46,1,0.916667,3101.01703,0,12
1726.67,0.166667,0,128.834658,0,12
217,0.166667,0,1599.353926,0.166667,12
0,0,0,911.08543,0,12
518.44,1,1,1584.520204,0,12
0,0,0,494.954634,0,12
0,0.333333,0.333333,385.347014,0,12
0,0.166667,0.166667,4483.503862,0,12
1085.19,0.833333,0.583333,1919.690041,0,12
3725.33,1,1,108.937025,0.3,12
0,0,0,1111.251287,0,11
70,0.083333,0,218.497636,0,12
0,0.5,0.5,127.78905,0.6,12
2305.33,0.916667,0.833333,207.584121,0.363636,12
0,0,0,19.492021,0,12
0,0,0,164.391437,0,12
2941.39,1,0.416667,212.075152,1,12
6558.55,1,0,169.703195,0.916667,12
0,0,0,1819.542692,0,12
2905.71,1,0.916667,197.534405,0.666667,12
262.1,0.166667,0,1998.044046,0,12
828.85,0.75,0.166667,123.522314,0.571429,12
1482,1,1,1520.54755,0,12
0,0,0,2539.198217,0,12
7280.27,1,1,216.277252,0.583333,12
1527.3,0.25,0.083333,307.812023,0.083333,12
609.9,1,0.083333,817.39586,0,12
174,0.25,0,3872.099498,0,12
0,0,0,585.776445,0,12
0,0,0,1206.741644,0,12
0,0.416667,0.333333,140.181283,1,12
598.95,0.833333,0.083333,1342.522124,0,12
306.31,0.916667,0.916667,457.255269,0,12
40624.06,0.833333,0.416667,15914.48462,0.083333,12
727.27,0.583333,0,206.656437,0.916667,12
815.11,1,0.909091,280.393252,0,11
0,0.833333,0.833333,186.774371,0.3,12
0,0.583333,0.583333,156.644197,1,12
0,0.833333,0.75,1502.744095,0,12
22257.39,1,0.333333,534.032339,1,12
0,0,0,1187.962476,0,12
1564.16,1,0.583333,1549.64691,0,12
0,0.833333,0.75,132.13182,0.666667,12
4503.31,1,1,451.636081,0.25,12
1172.68,0.083333,0,760.028047,0,12
353.6,0.75,0.583333,3451.70216,0,12
2220.39,1,1,287.515344,0.083333,12
907.37,1,0,184.723457,1,12
0,0,0,427.594038,0,12
0,0,0,,0,12
0,1,1,163.044353,1,12
0,0.583333,0.583333,19977.00572,0,12
529.3,0.5,0,3905.740148,0,8
210.43,1,1,5067.863223,0,12
0,0,0,706.541302,0,12
185,0.916667,0.916667,163.155119,0,12
3636.53,1,0.75,957.077692,0,12
0,0,0,361.250401,0,12
331.95,0.2,0,1088.959964,0,10
1490,0.083333,0,747.486806,0,12
270.52,0.916667,0.833333,149.982513,0.333333,12
900,1,0.888889,1058.84479,0,9
0,0.833333,0.833333,168.227161,0.375,12
1222.96,1,1,874.422722,0,12
59,0.416667,0.333333,368.652894,0,12
162.95,0.583333,0.5,590.361005,0,12
4300.42,1,1,1090.368608,0.083333,12
1023.8,0.083333,0,116.063003,0,12
4438.8,1,0.666667,694.340138,0.083333,12
1549.61,0.666667,0,1770.058766,0,12
734.11,0.333333,0,102.554198,0.5,12
1282.85,1,1,6174.387335,0,12
0,1,1,1113.097672,0,12
482.03,0.25,0.166667,112.874987,1,12
0,0.083333,0.083333,421.385587,0,12
277,0.333333,0,109.433095,0.333333,6
7479.95,0.818182,0,319.437528,0.888889,11
2606.42,1,0.833333,1143.849403,0,12
6300.4,0.833333,0,182.288774,1,12
0,1,1,1991.577214,0,12
4924.41,0.8,0,149.408227,1,10
1308.11,0.5,0,207.007715,0,6
40761.25,1,0.916667,2974.069421,0.25,12
4020.33,0.916667,0.75,7060.930982,0,12
227.8,0.333333,0,6510.915661,0,12
2327.49,0.666667,0,360.670758,0,12
1199,0.090909,0,422.041626,0.111111,11
0,1,1,203.755356,0,12
0,0,0,1228.291582,0,12
286,0.666667,0.333333,1468.475204,0,6
0,0,0,1306.960035,0,12
133.39,0.25,0,169.473399,0,12
2912.65,0.916667,1,280.014823,0.818182,12
0,0,0,189.52525,0,12
0,0.25,0.25,8269.955787,0,12
10133.7,1,0.833333,281.611634,0.833333,12
0,0,0,256.494357,0,12
0,1,1,1442.933291,0.25,12
258.74,0.666667,0,105.034384,1,12
0,1,1,38512.12477,0,12
194.99,0.5,0.166667,93.027601,0.333333,12
709,0.3,0,2042.09446,0,10
1628.07,0.333333,0,507.655831,0,12
0,0,0,10636.14839,0,12
0,0,0,663.360789,0,12
165,0.083333,0,,0,12
11681.64,1,0,1198.614519,0,12
0,0.416667,0.416667,445.215577,0,12
0,0,0,3082.801095,0,12
1017.65,0.5,0.25,2902.18515,0,12
1494.5,0.416667,0,462.41515,0,12
646.24,0.083333,0,183.086463,0,12
0,0,0,505.965923,0.083333,12
2124.75,1,0.75,182.527745,1,12
0,0,0,2183.319473,0,12
0,0,0,1708.136351,0,12
9805.73,1,1,653.194444,0,12
7564.81,1,1,4467.520244,0,12
24.64,0.083333,0,26.849523,0,12
23032.97,1,0.916667,537.372671,1,12
273.6,0.333333,0.25,149.47264,0.2,12
1456.94,1,0.25,950.496396,0,12
824.21,1,1,512.073385,0,12
9400.96,1,0.916667,2372.97281,0,12
2094.38,0.416667,0,556.378998,0,12
0,0,0,1384.882852,0,11
411.38,0.25,0,513.547978,0,12
0,0.5,0.5,147.337498,0.166667,12
525,0.083333,0,82.631551,0,12
1777.14,0.916667,0.333333,1338.082337,0,12
1515.46,1,0.166667,193.898848,0.25,12
0,0.083333,0.083333,424.623595,0,12
386.12,0.636364,0,752.309324,0,11
0,0,0,570.229181,0,11
0,0,0,1536.151742,0,12
198.4,0.583333,0.5,234.277687,0,12
963.13,0.666667,0,639.521888,0,12
2011.81,0.416667,0,165.070133,0.8,12
0,0.833333,0.75,2293.582697,0,12
0,0.666667,0.666667,152.094041,0.714286,12
0,0.916667,0.916667,886.539252,0,12
907.05,1,1,309.542834,0,12
1860.18,1,1,2500.582848,0,12
117.57,0.083333,0,542.296729,0.1,12
769.41,1,0.916667,129.304142,0.8,12
817.32,1,1,3215.771919,0,12
11.06,0.083333,0,1243.56477,0,12
0,0,0,2452.882838,0,12
2904.89,1,1,208.069929,1,12
0,1,0.916667,508.775831,0,12
0,0.2,0.2,139.674841,0.5,10
5050.97,1,1,1256.196236,0,12
3756.01,1,1,204.762568,0.083333,12
0,0,0,56.686755,0.2,12
7469.7,0.833333,0.75,1183.069705,0.25,12
70,1,0.916667,56.500841,0.1,12
10929.53,1,0.583333,887.495688,0.083333,12
794.52,0.666667,0,1196.302503,0,12
150.5,0.9,0.8,160.592311,0.125,10
801.35,0.666667,0.333333,518.001095,0,12
1544.79,1,1,1646.768053,0.083333,12
3301.6,1,0.916667,235.661045,0.833333,12
0,1,1,183.177287,0.083333,12
0,0,0,390.202217,0,12
472.71,0.083333,0,108.579632,0,12
78.6,0.818182,0.818182,1017.637027,0.090909,11
989.14,0.583333,0.333333,3913.712987,0.166667,12
468,0.416667,0.333333,161.420141,0.25,12
0,0,0,369.566083,0,12
0,0,0,3614.801495,0,12
0,0,0,96.13968,0,12
1149.34,1,0.916667,212.73674,1,12
1136.7,0.916667,0.75,185.468819,0.25,12
0,0,0,1537.255049,0,12
2183.56,0.916667,0.75,205.024983,1,12
3161.46,1,1,8096.79502,0,12
3755.24,1,1,445.131364,0.25,12
2475.93,1,1,340.717801,1,12
433.63,0.25,0,1663.455756,0,12
2549.25,1,0.333333,1355.651702,0,12
0,0.5,0.333333,216.48223,0.454545,12
0,0,0,10592.53719,0,12
0,1,0.888889,965.13244,0,9
464.9,1,1,684.951673,0,12
10588.97,1,0.909091,2117.186083,0,11
0,0.272727,0.272727,131.19619,1,11
0,0,0,,0,12
4192.8,1,1,1805.370785,0.25,12
1234,0.75,0.583333,173.931803,1,12
202,0.166667,0,43.909196,0,12
2874.89,1,1,2068.25205,0.090909,12
0,0.166667,0.166667,28.994494,0.181818,12
926.9,0.166667,0.083333,810.909841,0.083333,12
3660.97,1,0,188.409994,0.666667,12
2281.56,0.916667,0,243.235999,0,12
45.65,0.083333,0,439.870516,0.1,12
1310.9,0.916667,0.75,609.161536,0,12
220,0.583333,0.5,66.969941,0.25,12
0,1,1,15914.72154,0,12
80,0.125,0,,0,8
1653.98,1,1,195.370312,0.916667,12
12650,0.25,0,9170.428051,0,12
228.35,0.333333,0,507.937007,0,12
0,0,0,1178.426048,0,10
567.47,0.916667,0.916667,219.067764,0,12
0,0.666667,0.583333,1395.576542,0,12
0,0,0,1441.148962,0,12
367,1,1,168.938924,0,12
0,0,0,2166.204489,0,12
3073.82,1,1,207.134142,0.166667,12
0,0.5,0.5,7281.645049,0,12
66.32,0.083333,0,2385.432813,0,12
0,0.2,0.1,48.782575,0.5,10
362.36,0.25,0,2036.877611,0,8
326.02,1,1,1002.627519,0.083333,12
1286.2,1,0,218.00803,0,12
0,1,1,4093.868044,0,12
0,0,0,1066.060177,0,12
0,0.583333,0.5,481.452747,0.25,12
0,0.142857,0.142857,276.463002,0,7
270.07,0.583333,0.166667,894.910352,0,12
2025,0.75,0,118.312302,0.5,12
2949.37,1,1,199.621137,1,12
1687.29,0.5,0,261.032083,0.166667,12
0,1,0.857143,930.115009,0,7
1587.34,1,1,176.211823,0.333333,12
300,0.5,0.416667,220.685812,0,12
320.03,1,1,389.191998,0,12
328.92,0.166667,0,1400.681628,0,6
0,1,1,24302.09819,0,12
1439.07,1,1,173.710118,1,12
65,0.916667,0.833333,266.50397,0,12
0,0,0,891.059927,0,12
0,0,0,310.58347,0,6
0,0,0,301.346806,0.1,12
171.92,0.416667,0,912.269822,0,12
1741.3,1,0.416667,345.15359,0,12
1229.57,0.416667,0,192.979922,0,12
