Teenhome,Fruits,AcceptedCmp2,Response,Spent,Children,Family_Size
0,9,0,0,51,1,1
0,0,0,0,17,2,3
0,6,0,0,22,1,2
0,12,0,0,324,0,0
1,3,0,0,211,3,4
0,0,0,0,19,1,1
0,7,0,0,41,1,1
1,11,0,1,492,1,2
1,50,0,0,1005,1,2
1,0,0,0,114,1,2
1,21,0,0,1173,2,2
0,134,0,0,1738,0,1
0,4,0,0,222,1,2
0,152,0,0,1127,0,0
0,9,0,0,209,0,1
1,35,0,0,787,1,2
0,0,0,0,1598,0,1
1,1,0,0,186,2,3
0,2,0,1,47,1,2
0,0,0,0,27,1,1
0,4,0,1,96,1,2
1,1,0,0,64,2,2
0,105,0,0,1040,0,1
1,5,0,0,163,2,2
0,36,0,0,343,0,1
2,0,0,1,446,3,3
1,0,0,0,41,2,3
0,3,0,1,70,1,1
1,7,0,0,272,2,2
0,0,0,0,46,1,2
2,9,0,0,490,2,3
0,22,0,1,79,1,1
1,53,0,0,915,1,2
1,0,0,0,1485,1,2
0,44,0,0,369,1,1
1,34,0,0,1073,1,2
0,0,0,0,1242,0,1
0,5,0,0,78,1,2
0,26,1,0,1378,0,1
0,114,0,1,1474,0,0
1,0,0,0,751,2,3
0,3,0,0,48,1,2
0,3,0,0,45,1,2
0,2,0,0,10,1,2
0,68,0,1,1435,0,1
0,42,0,0,2119,0,1
2,0,0,0,20,3,4
0,137,0,0,1795,0,1
0,0,0,0,1188,1,2
0,2,0,0,43,1,2
1,0,0,0,1008,1,2
0,16,1,1,1688,0,0
0,0,0,0,684,1,2
1,47,0,0,1082,2,3
1,66,0,0,1068,1,2
0,0,0,0,57,1,1
1,0,0,0,46,1,2
1,35,0,0,733,1,1
1,4,0,0,467,1,1
0,0,0,0,122,1,2
0,11,0,0,36,1,2
0,4,0,0,34,1,2
1,28,0,0,156,1,2
0,1,0,0,14,0,1
0,4,0,0,37,1,1
0,6,0,0,34,0,1
0,0,0,0,20,0,0
0,14,0,0,192,1,1
0,190,0,0,1379,0,0
0,7,0,0,48,1,2
1,7,0,0,428,1,2
1,16,0,0,868,1,1
1,38,0,0,1001,1,2
0,2,0,0,59,1,1
1,70,0,0,431,2,3
1,19,0,0,971,1,2
2,24,0,0,348,3,4
0,24,0,1,2059,0,0
0,11,0,1,265,1,2
1,15,0,0,270,1,2
0,96,0,0,1289,0,1
1,0,0,1,893,1,2
0,0,0,0,926,0,0
1,0,0,0,135,1,1
0,84,0,0,1495,0,1
0,5,0,0,120,1,2
0,25,0,0,1288,0,0
0,17,0,1,1743,0,1
0,1,0,0,15,1,1
2,42,0,0,542,2,3
0,8,0,0,890,1,2
1,76,0,0,1388,1,2
0,0,0,1,17,1,2
0,8,0,1,906,1,2
1,1,0,0,44,2,3
0,1,0,0,25,1,1
1,0,0,0,973,1,2
1,3,0,0,31,2,2
1,0,0,0,518,1,2
1,22,0,0,530,1,2
0,7,0,0,506,1,2
0,7,0,0,70,1,2
0,3,0,0,54,1,1
0,15,0,1,296,1,1
1,2,0,0,266,1,2
0,28,0,0,747,0,1
0,74,0,1,895,0,0
1,0,0,0,1053,1,2
1,12,0,0,735,1,2
0,0,0,0,20,1,2
0,1,0,0,205,0,0
1,19,0,0,2092,1,2
0,2,0,0,309,1,1
0,20,0,0,1722,0,1
1,0,0,0,900,1,1
0,13,0,0,682,0,0
1,25,0,0,663,1,1
1,1,0,0,43,1,1
1,0,0,0,1816,1,2
1,0,0,0,976,1,2
0,14,0,0,746,0,1
1,2,0,0,64,2,3
1,0,0,0,32,1,2
0,36,0,0,263,0,1
0,0,0,0,1445,1,2
1,0,0,0,46,1,2
0,10,0,0,1210,0,0
1,162,0,0,945,1,2
0,70,0,0,1157,0,0
0,4,0,0,137,0,1
1,138,0,0,730,1,1
0,1,0,0,216,1,2
1,83,0,0,943,1,1
2,17,0,0,347,2,3
0,92,0,0,1924,0,1
1,0,0,0,397,1,2
0,20,0,0,2089,0,0
1,0,0,0,138,2,3
0,7,0,0,42,1,1
0,23,0,0,777,0,1
0,134,0,0,1902,0,1
1,1,0,0,52,2,2
0,73,0,0,1651,0,0
0,2,0,0,358,0,1
0,33,0,0,1727,0,1
0,1,0,1,210,1,2
0,4,0,0,42,1,2
0,38,0,0,1291,0,1
0,15,0,0,442,0,1
0,155,0,0,1895,0,0
1,10,0,0,411,2,3
1,61,0,0,521,1,1
1,54,0,0,1168,1,1
1,4,0,0,493,2,3
1,6,0,0,260,2,3
0,3,0,0,46,1,1
1,12,0,0,319,1,2
1,0,0,0,96,1,2
0,151,0,1,1062,0,0
1,4,0,0,232,1,2
0,3,0,0,76,1,1
0,9,0,0,54,1,2
1,10,0,0,201,1,1
0,3,0,0,406,1,1
0,19,0,1,1919,0,1
1,18,0,0,662,1,2
0,4,0,0,41,1,2
0,46,0,1,1600,0,0
0,7,0,0,134,1,2
1,3,0,1,69,2,3
1,0,0,0,21,2,3
1,4,0,0,54,2,2
0,16,0,1,91,1,1
1,0,0,0,526,1,1
0,3,0,0,162,0,1
0,28,0,1,1008,0,1
1,17,0,0,240,2,3
0,85,0,0,795,1,1
0,129,0,0,1772,0,1
0,4,0,0,64,0,1
1,38,1,1,1957,1,2
0,8,0,0,78,1,2
0,153,0,0,1572,0,0
1,25,0,0,795,1,2
1,129,0,0,889,1,2
1,18,0,0,331,1,1
1,2,0,0,265,1,2
1,10,0,0,1065,1,1
1,0,0,0,11,2,3
1,0,0,0,21,1,1
1,0,0,0,17,2,3
1,0,0,0,369,1,2
1,0,0,0,38,2,3
0,12,0,0,177,1,1
1,5,0,0,279,1,2
0,6,0,0,62,1,2
1,12,1,1,1230,1,2
1,0,0,0,182,2,3
1,4,0,0,49,2,3
1,0,0,0,75,2,3
1,13,0,0,227,2,3
1,0,0,0,215,2,3
1,3,0,0,444,1,2
1,0,0,0,47,2,3
0,12,0,0,143,0,1
0,0,0,0,55,1,2
1,1,0,0,63,2,3
0,21,0,1,1867,0,0
1,47,0,0,611,1,2
1,4,0,0,473,1,2
0,9,0,0,55,0,1
0,0,0,1,81,1,1
0,183,0,1,2086,0,1
0,127,0,0,1478,0,0
0,6,0,0,49,1,2
0,30,0,0,382,0,1
0,4,0,1,69,1,2
0,12,0,0,67,1,1
1,0,0,0,30,2,3
0,7,0,0,63,1,2
0,3,0,0,79,1,2
1,0,0,0,42,1,1
1,28,0,0,819,1,2
0,32,0,0,1151,0,0
2,16,0,0,594,2,3
1,3,0,0,129,2,3
0,10,0,1,213,1,1
1,0,0,0,67,1,1
1,1,0,0,28,3,3
1,4,0,0,45,1,2
0,0,0,0,1193,0,1
0,13,0,0,268,0,0
0,25,0,0,266,0,0
0,8,0,0,37,1,2
1,0,0,0,37,3,4
0,91,0,1,882,0,0
1,13,0,0,373,2,3
1,0,0,0,35,3,3
1,1,0,0,107,2,3
1,6,0,0,42,2,2
1,8,0,0,326,1,2
1,0,0,0,404,1,2
0,8,0,0,95,0,0
0,35,0,0,939,0,0
0,6,0,0,33,1,1
0,22,0,0,981,0,1
0,2,0,0,36,1,2
1,63,0,0,1237,1,1
1,17,0,1,1825,1,2
1,18,0,0,103,2,2
0,5,0,0,191,1,1
0,107,0,0,1586,1,2
0,45,0,0,963,0,1
1,129,0,0,889,1,2
0,24,0,1,93,0,0
0,22,0,1,1587,0,0
1,0,0,0,16,3,3
0,20,0,0,1375,0,0
1,103,0,0,393,1,2
1,69,0,1,1477,1,1
1,21,0,0,1179,1,2
1,50,0,0,1005,1,2
0,66,0,0,1348,0,1
1,89,0,0,1307,1,1
1,3,0,0,486,1,1
0,105,0,1,2252,0,1
1,2,0,0,235,2,3
0,181,0,1,1724,0,1
0,6,0,0,235,1,1
1,0,0,0,1092,1,2
1,4,0,0,599,1,2
0,19,0,0,2008,0,0
0,0,0,0,48,1,2
1,80,0,0,1174,1,2
1,2,0,0,67,1,2
1,3,0,0,365,1,1
0,1,0,0,6,0,0
1,3,0,0,165,1,2
0,47,0,0,210,0,1
1,112,0,0,1095,1,2
2,1,0,0,223,3,3
1,0,0,0,597,1,2
0,6,0,0,22,1,2
1,53,0,0,1064,1,1
0,2,0,0,74,0,1
0,1,0,0,26,0,1
0,1,0,0,60,0,1
1,0,0,0,20,1,2
0,10,0,0,59,1,1
0,0,0,0,34,1,2
1,16,0,0,198,2,3
1,61,0,0,1048,1,2
2,9,0,0,574,2,2
1,159,0,0,1029,1,1
1,59,0,0,670,1,2
1,0,0,0,990,1,1
0,1,0,0,11,2,3
1,12,0,1,1241,1,2
0,81,0,0,576,0,0
0,4,0,1,172,1,2
0,32,0,0,664,0,0
1,23,0,0,928,1,1
0,134,0,0,2074,0,0
0,11,0,0,467,0,1
1,6,0,0,257,1,2
0,32,0,0,1146,0,1
1,18,0,0,689,1,1
0,102,0,1,2114,0,0
0,16,0,0,1717,0,1
0,40,0,0,1346,0,1
0,86,0,0,1044,0,1
1,0,0,1,493,1,1
0,0,0,0,957,0,0
1,15,0,0,270,1,2
0,0,0,0,29,0,1
1,1,0,1,121,2,2
2,4,0,0,126,2,3
0,2,0,0,23,0,0
1,1,0,1,57,2,2
0,11,0,0,636,0,0
0,22,0,0,1004,0,1
1,11,0,0,734,1,1
0,123,0,0,614,2,3
1,12,0,0,1453,1,1
0,32,0,1,1621,0,0
0,19,0,0,187,1,1
0,80,0,0,1443,1,2
0,0,0,0,57,1,1
1,6,0,0,637,1,1
1,0,0,0,948,1,2
0,1,0,1,59,1,2
0,3,0,0,18,1,2
1,58,0,0,903,1,1
0,10,0,0,112,1,1
0,5,0,0,596,0,1
0,13,0,0,233,1,2
0,40,0,0,1511,0,1
0,25,0,1,1152,0,0
0,4,0,0,48,1,2
1,81,0,0,1185,1,1
1,2,0,0,21,2,2
1,9,0,0,965,1,2
0,0,0,0,869,0,1
0,0,0,0,16,1,2
0,166,0,0,1947,0,1
0,0,0,1,71,1,2
1,0,0,0,65,1,2
0,25,0,0,1380,0,1
0,142,0,0,1027,0,0
1,3,0,0,411,3,4
0,22,0,0,836,0,1
1,0,0,0,11,2,2
1,4,0,0,480,2,3
1,9,0,0,606,2,3
2,2,0,0,284,3,3
1,28,0,0,1472,2,2
0,0,0,1,1677,0,1
1,79,0,0,1335,1,2
1,39,0,0,334,1,2
0,0,0,0,18,1,2
1,133,0,0,1338,1,2
1,10,0,0,1099,1,1
1,2,0,0,97,2,3
2,1,0,0,63,3,3
0,11,0,0,109,1,2
0,26,0,0,902,0,1
0,31,0,0,1574,0,1
0,5,0,0,38,1,2
0,17,0,0,960,0,0
0,3,0,0,28,1,1
0,80,0,1,1215,0,1
0,42,0,0,1497,0,1
1,8,0,0,449,1,2
1,53,0,0,1064,1,1
0,178,0,1,1757,0,1
0,93,0,0,1440,0,1
0,35,0,0,1006,0,1
1,12,0,1,1226,1,2
1,10,0,0,1171,1,2
0,2,0,0,92,1,2
1,0,0,0,99,1,2
0,5,0,0,66,1,2
1,16,0,0,564,2,2
0,107,0,0,1427,0,1
0,1,0,1,86,1,1
0,35,0,0,833,0,0
1,3,0,0,242,1,2
0,51,0,0,1869,0,1
0,97,0,0,1364,0,1
1,12,0,0,183,1,2
1,7,0,0,450,1,2
1,32,0,0,758,1,2
0,115,0,0,1507,0,1
1,5,0,1,654,2,2
1,1,0,0,81,2,3
1,2,0,0,137,1,2
1,0,0,0,16,2,3
1,0,0,0,93,1,1
0,11,0,0,1158,0,1
1,1,0,0,43,2,2
1,0,0,0,1525,1,1
0,12,0,0,1230,0,0
1,5,0,0,29,2,3
0,3,0,0,25,1,1
0,3,0,0,24,1,2
0,2,0,0,38,1,2
0,12,0,0,57,1,2
1,2,0,0,47,2,3
1,48,0,1,813,1,1
0,9,0,0,629,1,2
1,27,0,0,377,1,1
0,168,0,0,1612,0,1
0,23,0,1,729,0,1
0,8,0,0,50,0,0
1,2,0,0,270,2,3
1,19,0,0,177,1,1
0,3,0,0,315,0,0
1,28,0,0,767,1,2
1,44,0,0,1071,1,1
0,91,0,0,1580,0,1
0,1,0,0,60,1,2
1,5,0,0,573,1,2
1,1,0,0,41,2,2
1,23,0,0,170,2,3
0,148,0,0,1167,0,0
0,43,1,1,1526,0,1
2,0,0,0,458,2,3
1,1,0,0,63,1,2
1,28,0,0,405,1,2
1,53,0,0,1027,2,3
1,26,0,0,1478,1,1
0,10,0,0,72,0,1
0,2,0,1,48,1,1
0,174,0,0,726,0,0
1,0,0,0,860,1,2
0,73,0,0,1497,0,1
1,9,0,0,495,1,2
1,2,0,0,20,2,3
0,0,0,0,570,0,0
1,14,0,0,769,1,2
0,7,0,0,55,1,2
0,53,0,1,1808,0,0
0,10,0,0,55,1,2
0,5,1,1,577,0,0
0,3,0,0,162,0,1
1,38,1,1,1957,1,2
1,122,0,0,1576,1,1
2,15,0,0,1616,3,4
2,1,0,0,36,3,3
1,28,0,0,1482,1,1
0,0,0,0,22,1,2
1,5,0,0,63,2,2
0,16,0,0,680,0,0
2,5,0,0,542,2,3
0,5,0,0,50,1,2
1,1,0,0,39,2,3
1,123,0,0,1043,1,2
0,9,0,0,385,1,1
0,50,0,0,1633,0,0
1,0,0,0,46,1,1
1,5,0,0,761,1,1
1,6,0,0,76,2,3
1,65,0,0,290,1,2
0,7,0,0,89,1,1
0,14,0,0,70,1,2
0,50,0,0,1066,0,1
0,74,1,1,2009,0,1
0,91,0,0,1345,0,0
1,7,0,0,764,1,1
1,1,0,0,195,1,1
0,2,0,0,53,2,3
1,2,0,0,368,1,1
1,0,0,0,544,1,2
0,54,0,0,1853,0,1
1,0,0,0,35,2,3
1,0,0,1,446,1,2
1,199,0,0,1180,1,1
1,0,0,0,41,1,2
0,64,0,0,727,2,3
1,2,0,0,40,2,3
0,20,0,0,1062,0,1
0,2,0,0,40,1,2
1,2,0,0,292,2,3
0,2,0,0,15,0,1
0,35,0,0,341,1,2
0,39,0,0,369,1,1
1,11,0,0,401,1,2
1,11,0,0,393,1,1
0,0,0,0,10,2,2
1,62,0,0,486,1,2
0,12,0,0,69,1,2
0,0,1,0,1727,0,1
1,47,0,0,995,1,1
0,0,0,0,45,1,2
1,13,0,0,182,2,2
0,58,0,0,989,1,2
0,22,0,0,1677,0,1
1,4,0,0,595,2,2
0,12,0,0,156,1,2
0,68,0,0,1226,0,0
0,23,0,0,128,1,2
0,10,0,1,86,1,1
1,1,0,0,68,1,2
0,1,0,0,16,2,2
1,0,0,0,55,2,3
0,102,0,1,2114,0,0
0,55,0,0,2018,0,1
1,2,0,0,263,3,3
1,0,0,0,55,2,3
1,14,0,0,564,2,3
0,60,0,0,1281,0,0
0,3,0,0,83,1,2
1,20,0,0,353,2,2
0,31,0,0,1003,0,1
0,0,0,0,14,1,1
0,8,0,1,902,0,0
1,8,0,0,1139,1,1
1,58,0,1,797,1,2
1,138,0,0,1638,1,1
0,55,0,0,401,1,2
0,17,0,0,84,1,1
0,33,0,0,928,0,1
1,0,0,0,203,1,1
0,101,0,0,858,0,1
0,21,0,0,409,0,1
2,7,0,0,282,3,4
0,92,0,0,1423,0,0
0,28,0,1,1449,0,0
0,1,0,0,28,1,1
0,0,0,0,67,1,2
0,9,0,0,199,0,1
0,28,0,0,1453,0,0
0,12,0,0,1253,0,1
1,0,0,1,1198,1,1
0,3,0,1,178,1,2
0,29,0,1,1990,0,0
0,61,0,0,976,0,1
0,19,0,0,1001,0,1
0,19,0,1,1919,0,1
1,29,0,0,350,1,1
0,64,0,0,1650,0,0
1,0,1,0,46,2,3
0,26,0,0,1228,0,0
0,20,0,1,95,1,1
1,6,0,0,62,2,3
0,99,0,0,1761,1,2
0,28,0,0,467,0,1
0,23,0,0,1149,0,1
0,111,0,0,2052,0,0
0,152,0,0,1127,0,0
1,80,0,0,1416,1,2
0,0,0,0,1113,0,1
0,9,0,0,125,1,1
1,0,0,0,966,1,1
0,4,0,0,32,1,2
0,35,0,0,833,0,0
0,0,0,0,46,1,2
0,21,0,0,960,0,1
1,0,0,0,1829,1,2
1,17,0,0,779,1,1
0,7,0,0,811,1,1
1,86,0,0,1120,2,2
1,12,0,0,725,1,2
0,98,0,1,1187,0,0
0,24,0,1,2302,0,1
0,7,0,0,66,0,0
0,0,0,0,1250,0,1
1,42,0,0,683,1,2
1,25,0,0,305,2,2
0,2,0,0,50,1,2
1,28,0,0,995,1,1
0,0,0,0,41,1,2
1,0,0,0,77,2,3
1,7,0,1,171,2,2
0,6,0,0,131,2,2
1,0,0,0,54,2,3
1,2,0,0,53,2,3
1,27,0,1,475,1,2
1,5,0,0,694,1,1
1,2,0,0,96,2,3
1,3,0,0,361,1,1
1,85,0,0,1079,1,1
1,0,0,0,578,1,1
0,7,0,1,64,1,2
1,4,0,0,149,1,2
1,12,0,0,231,2,3
1,107,0,0,728,1,2
0,21,0,1,1778,0,1
0,2,0,0,93,1,2
0,0,0,1,23,1,2
0,36,0,0,662,1,2
0,137,0,0,1198,0,1
1,0,0,0,81,3,4
0,5,0,0,92,1,2
1,35,0,0,491,1,1
0,138,0,0,1564,0,1
0,8,0,0,926,0,1
0,55,0,0,1910,0,1
1,3,0,0,411,3,4
1,9,0,0,94,2,3
1,17,0,0,1085,1,2
1,1,0,0,23,2,2
0,1,0,0,6,0,0
0,3,0,0,54,1,1
1,43,0,0,1150,1,1
0,168,0,1,1415,0,1
1,3,0,0,405,1,2
0,93,0,0,1908,0,1
0,22,0,1,2486,0,1
