user_id,order_hour_of_day,days_since_prior_order,product_id,add_to_cart_order,department
104339,10,4,96,12,deli
104339,10,4,51,13,pantry
104339,10,4,54,14,household
104339,10,4,32,15,produce
104339,10,4,107,16,snacks
104339,10,4,81,17,canned goods
104339,10,4,12,18,dry goods pasta
104339,10,4,120,19,dairy eggs
104339,10,4,21,20,dairy eggs
104339,10,4,9,21,dry goods pasta
104339,10,4,83,22,produce
104339,10,4,83,23,produce
104339,10,4,123,24,produce
104339,10,4,112,25,bakery
104339,10,4,36,26,dairy eggs
104339,10,4,83,27,produce
104339,10,4,116,28,frozen
104339,10,4,24,29,produce
104339,10,4,129,30,frozen
104339,10,4,69,31,canned goods
104339,10,4,69,32,canned goods
104339,10,4,131,33,dry goods pasta
104339,10,4,9,34,dry goods pasta
104339,10,4,13,35,deli
101952,6,8,52,1,frozen
101952,6,8,123,2,produce
101952,6,8,16,3,produce
101952,6,8,83,4,produce
101952,6,8,112,5,bakery
101952,6,8,83,6,produce
101952,6,8,21,7,dairy eggs
101952,6,8,130,8,breakfast
101952,6,8,104,9,pantry
59512,17,15,21,1,dairy eggs
59512,17,15,26,2,beverages
59512,17,15,24,3,produce
59512,17,15,83,4,produce
59512,17,15,120,5,dairy eggs
59512,17,15,24,6,produce
59512,17,15,121,7,breakfast
59512,17,15,24,8,produce
59512,17,15,59,9,canned goods
195070,2,,69,1,canned goods
195070,2,,83,2,produce
195070,2,,53,3,dairy eggs
195070,2,,63,4,dry goods pasta
195070,2,,58,5,frozen
195070,2,,112,6,bakery
195070,2,,83,7,produce
195070,2,,108,8,dairy eggs
25357,18,10,86,1,dairy eggs
25357,18,10,24,2,produce
25357,18,10,24,3,produce
25357,18,10,84,4,dairy eggs
25357,18,10,81,5,canned goods
25357,18,10,83,6,produce
25357,18,10,83,7,produce
25357,18,10,83,8,produce
25357,18,10,106,9,meat seafood
150253,9,30,98,1,beverages
109205,8,28,100,1,missing
109205,8,28,53,2,dairy eggs
110440,12,9,120,1,dairy eggs
110440,12,9,83,2,produce
110440,12,9,123,3,produce
101518,9,4,54,1,household
101518,9,4,115,2,beverages
101518,9,4,77,3,beverages
101518,9,4,23,4,snacks
146767,13,15,32,1,produce
146767,13,15,24,2,produce
57626,10,12,100,1,missing
57626,10,12,91,2,dairy eggs
57626,10,12,52,3,frozen
57626,10,12,53,4,dairy eggs
104159,14,30,57,1,breakfast
104159,14,30,37,2,frozen
104159,14,30,121,3,breakfast
104159,14,30,121,4,breakfast
104159,14,30,24,5,produce
104159,14,30,77,6,beverages
104159,14,30,77,7,beverages
104159,14,30,123,8,produce
104159,14,30,129,9,frozen
104159,14,30,52,10,frozen
104159,14,30,86,11,dairy eggs
82371,8,7,59,1,canned goods
82371,8,7,59,2,canned goods
82371,8,7,51,3,pantry
82371,8,7,108,4,dairy eggs
82371,8,7,133,5,personal care
82371,8,7,64,6,beverages
82371,8,7,107,7,snacks
174695,11,30,77,1,beverages
174695,11,30,3,2,snacks
174695,11,30,23,3,snacks
189280,17,11,120,1,dairy eggs
189280,17,11,120,2,dairy eggs
189280,17,11,31,3,beverages
189280,17,11,129,4,frozen
189280,17,11,106,5,meat seafood
189280,17,11,49,6,meat seafood
189280,17,11,16,7,produce
189280,17,11,83,8,produce
189280,17,11,131,9,dry goods pasta
189280,17,11,24,10,produce
189280,17,11,24,11,produce
189280,17,11,120,12,dairy eggs
189280,17,11,120,13,dairy eggs
189280,17,11,120,14,dairy eggs
189280,17,11,120,15,dairy eggs
189280,17,11,78,16,snacks
189280,17,11,53,17,dairy eggs
189280,17,11,69,18,canned goods
124898,16,30,115,1,beverages
124898,16,30,24,2,produce
124898,16,30,24,3,produce
124898,16,30,123,4,produce
174622,16,2,31,1,beverages
174622,16,2,78,2,snacks
174622,16,2,21,3,dairy eggs
174622,16,2,21,4,dairy eggs
174622,16,2,24,5,produce
174622,16,2,107,6,snacks
174622,16,2,59,7,canned goods
174622,16,2,45,8,snacks
174622,16,2,107,9,snacks
174622,16,2,130,10,breakfast
169841,13,30,116,1,frozen
169841,13,30,107,2,snacks
169841,13,30,67,3,deli
169841,13,30,130,4,breakfast
169841,13,30,50,5,snacks
169841,13,30,123,6,produce
169841,13,30,128,7,bakery
169841,13,30,107,8,snacks
169841,13,30,23,9,snacks
169841,13,30,72,10,pantry
169841,13,30,24,11,produce
169841,13,30,24,12,produce
169841,13,30,21,13,dairy eggs
169841,13,30,120,14,dairy eggs
169841,13,30,24,15,produce
169841,13,30,129,16,frozen
169841,13,30,67,17,deli
169841,13,30,51,18,pantry
169841,13,30,24,19,produce
169841,13,30,98,20,beverages
169841,13,30,21,21,dairy eggs
169841,13,30,120,22,dairy eggs
169841,13,30,91,23,dairy eggs
169841,13,30,116,24,frozen
169841,13,30,96,25,deli
169841,13,30,54,26,household
169841,13,30,96,27,deli
204174,13,6,24,1,produce
204174,13,6,24,2,produce
204174,13,6,24,3,produce
204174,13,6,123,4,produce
204174,13,6,31,5,beverages
204174,13,6,78,6,snacks
204174,13,6,91,7,dairy eggs
204174,13,6,91,8,dairy eggs
110954,19,25,21,1,dairy eggs
110954,19,25,110,2,pantry
110954,19,25,83,3,produce
110954,19,25,59,4,canned goods
110954,19,25,16,5,produce
110954,19,25,128,6,bakery
110954,19,25,14,7,deli
110954,19,25,43,8,bakery
110954,19,25,106,9,meat seafood
110954,19,25,115,10,beverages
110954,19,25,115,11,beverages
36651,21,13,53,1,dairy eggs
36651,21,13,131,2,dry goods pasta
36651,21,13,120,3,dairy eggs
86461,19,29,25,1,personal care
86461,19,29,25,2,personal care
86461,19,29,25,3,personal care
86461,19,29,25,4,personal care
43314,14,14,112,1,bakery
43314,14,14,58,2,frozen
43314,14,14,86,3,dairy eggs
43314,14,14,120,4,dairy eggs
43314,14,14,26,5,beverages
43314,14,14,115,6,beverages
88200,18,8,27,1,alcohol
88200,18,8,107,2,snacks
88200,18,8,24,3,produce
88200,18,8,75,4,household
88200,18,8,84,5,dairy eggs
88200,18,8,27,6,alcohol
152247,16,30,37,1,frozen
152247,16,30,37,2,frozen
152247,16,30,66,3,international
152247,16,30,121,4,breakfast
47716,16,30,123,1,produce
47716,16,30,24,2,produce
47716,16,30,24,3,produce
47716,16,30,83,4,produce
47716,16,30,24,5,produce
47716,16,30,123,6,produce
47716,16,30,91,7,dairy eggs
47716,16,30,83,8,produce
47716,16,30,123,9,produce
47716,16,30,83,10,produce
47716,16,30,29,11,pantry
47716,16,30,107,12,snacks
47716,16,30,34,13,frozen
56542,9,6,123,1,produce
110030,15,11,38,1,frozen
110030,15,11,38,2,frozen
110030,15,11,38,3,frozen
110030,15,11,112,4,bakery
110030,15,11,53,5,dairy eggs
110030,15,11,123,6,produce
110030,15,11,54,7,household
110030,15,11,37,8,frozen
110030,15,11,51,9,pantry
110030,15,11,107,10,snacks
196737,16,9,88,1,pantry
196737,16,9,88,2,pantry
196737,16,9,123,3,produce
196737,16,9,107,4,snacks
196737,16,9,24,5,produce
196737,16,9,24,6,produce
196737,16,9,23,7,snacks
196737,16,9,21,8,dairy eggs
196737,16,9,116,9,frozen
196737,16,9,52,10,frozen
109975,15,10,45,1,snacks
109975,15,10,115,2,beverages
109975,15,10,23,3,snacks
109975,15,10,24,4,produce
109975,15,10,46,5,snacks
109975,15,10,24,6,produce
109975,15,10,37,7,frozen
109975,15,10,123,8,produce
102288,8,9,24,1,produce
148261,9,21,21,1,dairy eggs
148261,9,21,107,2,snacks
148261,9,21,77,3,beverages
148261,9,21,24,4,produce
148261,9,21,24,5,produce
17427,13,29,83,1,produce
17427,13,29,110,2,pantry
17427,13,29,81,3,canned goods
17427,13,29,83,4,produce
17427,13,29,106,5,meat seafood
17427,13,29,66,6,international
17427,13,29,54,7,household
17427,13,29,54,8,household
17427,13,29,54,9,household
17427,13,29,112,10,bakery
17427,13,29,21,11,dairy eggs
17427,13,29,21,12,dairy eggs
17427,13,29,69,13,canned goods
17427,13,29,17,14,pantry
17427,13,29,72,15,pantry
145672,14,3,123,1,produce
145672,14,3,67,2,deli
145672,14,3,83,3,produce
145672,14,3,86,4,dairy eggs
145672,14,3,84,5,dairy eggs
145672,14,3,59,6,canned goods
145672,14,3,24,7,produce
145672,14,3,24,8,produce
145672,14,3,123,9,produce
81321,13,30,54,1,household
81321,13,30,115,2,beverages
145695,11,6,3,1,snacks
145695,11,6,24,2,produce
145695,11,6,24,3,produce
145695,11,6,24,4,produce
145695,11,6,24,5,produce
145695,11,6,115,6,beverages
145695,11,6,3,7,snacks
199005,16,4,24,1,produce
199005,16,4,32,2,produce
199005,16,4,120,3,dairy eggs
14451,11,,24,1,produce
14451,11,,24,2,produce
14451,11,,83,3,produce
14451,11,,123,4,produce
14451,11,,83,5,produce
14451,11,,120,6,dairy eggs
14451,11,,36,7,dairy eggs
14451,11,,77,8,beverages
14451,11,,77,9,beverages
14451,11,,84,10,dairy eggs
117202,9,30,54,1,household
117202,9,30,11,2,personal care
117202,9,30,91,3,dairy eggs
117202,9,30,106,4,meat seafood
117202,9,30,94,5,beverages
187089,11,30,51,1,pantry
187089,11,30,36,2,dairy eggs
158122,14,5,17,1,pantry
158122,14,5,3,2,snacks
158122,14,5,32,3,produce
158122,14,5,78,4,snacks
158122,14,5,3,5,snacks
158122,14,5,3,6,snacks
158122,14,5,120,7,dairy eggs
158122,14,5,123,8,produce
158122,14,5,93,9,bakery
158122,14,5,120,10,dairy eggs
158122,14,5,24,11,produce
158122,14,5,107,12,snacks
158122,14,5,26,13,beverages
158122,14,5,84,14,dairy eggs
158122,14,5,91,15,dairy eggs
158122,14,5,96,16,deli
158122,14,5,96,17,deli
158122,14,5,14,18,deli
158122,14,5,125,19,snacks
39256,9,3,107,1,snacks
39256,9,3,50,2,snacks
39256,9,3,45,3,snacks
39256,9,3,121,4,breakfast
39256,9,3,24,5,produce
39256,9,3,91,6,dairy eggs
39256,9,3,91,7,dairy eggs
39256,9,3,107,8,snacks
39256,9,3,107,9,snacks
39256,9,3,112,10,bakery
173294,8,7,24,1,produce
106931,10,7,108,1,dairy eggs
106931,10,7,83,2,produce
106931,10,7,81,3,canned goods
106931,10,7,81,4,canned goods
106931,10,7,83,5,produce
106931,10,7,83,6,produce
106931,10,7,16,7,produce
106931,10,7,21,8,dairy eggs
106931,10,7,88,9,pantry
106931,10,7,117,10,snacks
120574,20,14,53,1,dairy eggs
120574,20,14,91,2,dairy eggs
120574,20,14,67,3,deli
120574,20,14,36,4,dairy eggs
196591,11,30,32,1,produce
196591,11,30,123,2,produce
196591,11,30,83,3,produce
196591,11,30,24,4,produce
196591,11,30,32,5,produce
196591,11,30,32,6,produce
196591,11,30,43,7,bakery
196591,11,30,43,8,bakery
176433,21,6,34,1,frozen
176433,21,6,21,2,dairy eggs
176433,21,6,84,3,dairy eggs
35646,19,5,32,1,produce
35646,19,5,32,2,produce
35646,19,5,123,3,produce
35646,19,5,24,4,produce
36975,21,5,31,1,beverages
36975,21,5,120,2,dairy eggs
36975,21,5,91,3,dairy eggs
36975,21,5,77,4,beverages
36975,21,5,83,5,produce
36975,21,5,53,6,dairy eggs
36975,21,5,84,7,dairy eggs
36975,21,5,123,8,produce
36975,21,5,31,9,beverages
36975,21,5,101,10,household
36975,21,5,108,11,dairy eggs
36975,21,5,72,12,pantry
36975,21,5,121,13,breakfast
36975,21,5,123,14,produce
36975,21,5,24,15,produce
36975,21,5,83,16,produce
36975,21,5,21,17,dairy eggs
36975,21,5,34,18,frozen
36975,21,5,86,19,dairy eggs
36975,21,5,24,20,produce
104844,14,7,104,1,pantry
104844,14,7,21,2,dairy eggs
104844,14,7,83,3,produce
104844,14,7,83,4,produce
104844,14,7,59,5,canned goods
104844,14,7,81,6,canned goods
104844,14,7,43,7,bakery
104844,14,7,83,8,produce
104844,14,7,83,9,produce
104844,14,7,83,10,produce
104844,14,7,24,11,produce
104844,14,7,24,12,produce
104844,14,7,24,13,produce
104844,14,7,123,14,produce
104844,14,7,72,15,pantry
172848,19,30,110,1,pantry
172848,19,30,52,2,frozen
172848,19,30,126,3,personal care
172848,19,30,91,4,dairy eggs
172848,19,30,48,5,breakfast
172848,19,30,78,6,snacks
24898,12,4,107,1,snacks
24898,12,4,115,2,beverages
96947,10,3,4,1,dry goods pasta
96947,10,3,27,2,alcohol
96947,10,3,124,3,alcohol
96947,10,3,24,4,produce
96947,10,3,24,5,produce
96947,10,3,24,6,produce
96947,10,3,98,7,beverages
151453,7,13,63,1,dry goods pasta
151453,7,13,66,2,international
151453,7,13,54,3,household
151453,7,13,45,4,snacks
151453,7,13,66,5,international
151453,7,13,45,6,snacks
151453,7,13,37,7,frozen
151453,7,13,8,8,bakery
151453,7,13,24,9,produce
151453,7,13,107,10,snacks
151453,7,13,84,11,dairy eggs
151453,7,13,31,12,beverages
151453,7,13,123,13,produce
151453,7,13,31,14,beverages
151453,7,13,91,15,dairy eggs
151453,7,13,121,16,breakfast
151453,7,13,115,17,beverages
151453,7,13,24,18,produce
151453,7,13,31,19,beverages
151453,7,13,89,20,pantry
151453,7,13,21,21,dairy eggs
151453,7,13,96,22,deli
164990,19,5,94,1,beverages
164990,19,5,24,2,produce
164990,19,5,81,3,canned goods
164990,19,5,107,4,snacks
164990,19,5,94,5,beverages
164990,19,5,83,6,produce
171617,9,1,59,1,canned goods
171617,9,1,59,2,canned goods
171617,9,1,59,3,canned goods
171617,9,1,53,4,dairy eggs
171617,9,1,83,5,produce
171617,9,1,83,6,produce
171617,9,1,83,7,produce
171617,9,1,24,8,produce
171617,9,1,51,9,pantry
171617,9,1,17,10,pantry
171617,9,1,17,11,pantry
171617,9,1,117,12,snacks
171617,9,1,17,13,pantry
171617,9,1,17,14,pantry
171617,9,1,24,15,produce
194610,15,5,133,1,personal care
194610,15,5,26,2,beverages
136842,12,7,117,1,snacks
136842,12,7,105,2,pantry
136842,12,7,105,3,pantry
136842,12,7,19,4,pantry
136842,12,7,92,5,babies
205600,15,7,84,1,dairy eggs
205600,15,7,112,2,bakery
205600,15,7,24,3,produce
205600,15,7,24,4,produce
205600,15,7,96,5,deli
205600,15,7,83,6,produce
205600,15,7,120,7,dairy eggs
205600,15,7,86,8,dairy eggs
205600,15,7,123,9,produce
205600,15,7,83,10,produce
205600,15,7,78,11,snacks
205600,15,7,81,12,canned goods
205600,15,7,21,13,dairy eggs
205600,15,7,128,14,bakery
205600,15,7,104,15,pantry
205600,15,7,78,16,snacks
205600,15,7,17,17,pantry
205600,15,7,72,18,pantry
205600,15,7,88,19,pantry
205600,15,7,120,20,dairy eggs
142284,21,1,17,1,pantry
142284,21,1,121,2,breakfast
142284,21,1,17,3,pantry
142284,21,1,128,4,bakery
142284,21,1,83,5,produce
142284,21,1,83,6,produce
142284,21,1,81,7,canned goods
142284,21,1,24,8,produce
142284,21,1,21,9,dairy eggs
142284,21,1,130,10,breakfast
142284,21,1,36,11,dairy eggs
142284,21,1,96,12,deli
142284,21,1,123,13,produce
80996,16,18,77,1,beverages
80996,16,18,115,2,beverages
80996,16,18,37,3,frozen
80996,16,18,44,4,personal care
80996,16,18,85,5,household
80996,16,18,54,6,household
107293,16,14,24,1,produce
107293,16,14,123,2,produce
107293,16,14,83,3,produce
107293,16,14,123,4,produce
107293,16,14,83,5,produce
107293,16,14,83,6,produce
107293,16,14,24,7,produce
107293,16,14,112,8,bakery
60341,8,2,108,1,dairy eggs
60341,8,2,77,2,beverages
60341,8,2,21,3,dairy eggs
60341,8,2,78,4,snacks
60341,8,2,24,5,produce
60341,8,2,37,6,frozen
60341,8,2,83,7,produce
60341,8,2,83,8,produce
60341,8,2,84,9,dairy eggs
164058,13,6,26,1,beverages
164058,13,6,40,2,pets
164058,13,6,117,3,snacks
164058,13,6,115,4,beverages
164058,13,6,104,5,pantry
55448,17,14,40,1,pets
55448,17,14,82,2,babies
171390,16,30,26,1,beverages
171390,16,30,21,2,dairy eggs
171390,16,30,24,3,produce
171390,16,30,53,4,dairy eggs
171390,16,30,79,5,frozen
171390,16,30,79,6,frozen
171390,16,30,112,7,bakery
171390,16,30,79,8,frozen
171390,16,30,69,9,canned goods
171390,16,30,4,10,dry goods pasta
171390,16,30,4,11,dry goods pasta
171390,16,30,26,12,beverages
171390,16,30,79,13,frozen
171390,16,30,37,14,frozen
171390,16,30,37,15,frozen
171390,16,30,38,16,frozen
171390,16,30,37,17,frozen
171390,16,30,3,18,snacks
171390,16,30,48,19,breakfast
171390,16,30,5,20,pantry
171390,16,30,86,21,dairy eggs
171390,16,30,106,22,meat seafood
171390,16,30,34,23,frozen
37753,11,,38,1,frozen
37753,11,,42,2,frozen
37753,11,,83,3,produce
37753,11,,83,4,produce
37753,11,,93,5,bakery
37753,11,,14,6,deli
37753,11,,83,7,produce
37753,11,,91,8,dairy eggs
37753,11,,83,9,produce
37753,11,,91,10,dairy eggs
37753,11,,14,11,deli
37753,11,,63,12,dry goods pasta
37753,11,,31,13,beverages
37753,11,,94,14,beverages
37753,11,,107,15,snacks
37753,11,,14,16,deli
37753,11,,42,17,frozen
37753,11,,55,18,personal care
37753,11,,83,19,produce
37753,11,,112,20,bakery
37753,11,,14,21,deli
37753,11,,45,22,snacks
37753,11,,24,23,produce
37753,11,,110,24,pantry
37753,11,,83,25,produce
37753,11,,38,26,frozen
111662,16,13,134,1,alcohol
111662,16,13,84,2,dairy eggs
111662,16,13,120,3,dairy eggs
111662,16,13,120,4,dairy eggs
111662,16,13,120,5,dairy eggs
111662,16,13,24,6,produce
111662,16,13,17,7,pantry
111662,16,13,3,8,snacks
111662,16,13,3,9,snacks
106169,14,2,83,1,produce
106169,14,2,16,2,produce
106169,14,2,120,3,dairy eggs
195778,10,7,91,1,dairy eggs
195778,10,7,98,2,beverages
195778,10,7,77,3,beverages
195778,10,7,77,4,beverages
195778,10,7,115,5,beverages
195778,10,7,77,6,beverages
200175,21,7,24,1,produce
200175,21,7,21,2,dairy eggs
200175,21,7,84,3,dairy eggs
200175,21,7,117,4,snacks
200175,21,7,24,5,produce
200175,21,7,52,6,frozen
200175,21,7,120,7,dairy eggs
200175,21,7,45,8,snacks
140070,17,30,24,1,produce
140070,17,30,67,2,deli
140070,17,30,16,3,produce
140070,17,30,16,4,produce
140070,17,30,108,5,dairy eggs
140070,17,30,112,6,bakery
140070,17,30,24,7,produce
140070,17,30,24,8,produce
140070,17,30,83,9,produce
140288,16,4,96,1,deli
140288,16,4,84,2,dairy eggs
140288,16,4,91,3,dairy eggs
140288,16,4,31,4,beverages
38852,16,8,24,1,produce
38852,16,8,24,2,produce
38852,16,8,14,3,deli
38852,16,8,123,4,produce
38852,16,8,123,5,produce
38852,16,8,67,6,deli
155371,16,1,115,1,beverages
155371,16,1,24,2,produce
155371,16,1,17,3,pantry
155371,16,1,53,4,dairy eggs
155371,16,1,115,5,beverages
155371,16,1,24,6,produce
155371,16,1,83,7,produce
134701,17,13,45,1,snacks
134701,17,13,24,2,produce
134701,17,13,121,3,breakfast
134701,17,13,54,4,household
134701,17,13,77,5,beverages
134701,17,13,61,6,snacks
134701,17,13,9,7,dry goods pasta
134701,17,13,37,8,frozen
134701,17,13,108,9,dairy eggs
134701,17,13,24,10,produce
134701,17,13,37,11,frozen
134701,17,13,37,12,frozen
134701,17,13,34,13,frozen
134701,17,13,35,14,meat seafood
134701,17,13,106,15,meat seafood
134701,17,13,43,16,bakery
134701,17,13,59,17,canned goods
134701,17,13,123,18,produce
151575,7,30,84,1,dairy eggs
151575,7,30,107,2,snacks
151575,7,30,83,3,produce
151575,7,30,24,4,produce
151575,7,30,88,5,pantry
151575,7,30,78,6,snacks
151575,7,30,61,7,snacks
151575,7,30,120,8,dairy eggs
99885,14,2,110,1,pantry
99885,14,2,29,2,pantry
99885,14,2,19,3,pantry
80647,17,18,86,1,dairy eggs
80647,17,18,108,2,dairy eggs
80647,17,18,116,3,frozen
80647,17,18,115,4,beverages
80647,17,18,123,5,produce
80647,17,18,86,6,dairy eggs
80647,17,18,24,7,produce
80647,17,18,115,8,beverages
64475,9,13,50,1,snacks
64475,9,13,84,2,dairy eggs
64475,9,13,79,3,frozen
64475,9,13,107,4,snacks
64475,9,13,96,5,deli
64475,9,13,92,6,babies
64475,9,13,83,7,produce
64475,9,13,92,8,babies
64475,9,13,83,9,produce
64475,9,13,24,10,produce
64475,9,13,123,11,produce
64475,9,13,83,12,produce
64475,9,13,50,13,snacks
64475,9,13,72,14,pantry
64475,9,13,83,15,produce
188981,16,11,93,1,bakery
188981,16,11,86,2,dairy eggs
188981,16,11,26,3,beverages
188981,16,11,36,4,dairy eggs
73301,11,11,123,1,produce
194563,16,10,61,1,snacks
194563,16,10,9,2,dry goods pasta
194563,16,10,114,3,household
194563,16,10,45,4,snacks
194563,16,10,107,5,snacks
38,13,30,9,1,dry goods pasta
38,13,30,17,2,pantry
38,13,30,84,3,dairy eggs
38,13,30,131,4,dry goods pasta
38,13,30,21,5,dairy eggs
38,13,30,131,6,dry goods pasta
38,13,30,123,7,produce
38,13,30,21,8,dairy eggs
38,13,30,21,9,dairy eggs
38,13,30,21,10,dairy eggs
38,13,30,91,11,dairy eggs
38,13,30,26,12,beverages
38,13,30,86,13,dairy eggs
38,13,30,107,14,snacks
23986,22,0,83,1,produce
23986,22,0,83,2,produce
23986,22,0,86,3,dairy eggs
23986,22,0,122,4,meat seafood
23986,22,0,15,5,meat seafood
23986,22,0,31,6,beverages
23986,22,0,24,7,produce
23986,22,0,16,8,produce
23986,22,0,24,9,produce
23986,22,0,83,10,produce
23986,22,0,68,11,bulk
23986,22,0,54,12,household
80914,16,2,112,1,bakery
80914,16,2,38,2,frozen
80914,16,2,38,3,frozen
80914,16,2,38,4,frozen
80914,16,2,38,5,frozen
80914,16,2,38,6,frozen
80914,16,2,38,7,frozen
80914,16,2,38,8,frozen
82918,14,14,24,1,produce
82918,14,14,32,2,produce
82918,14,14,36,3,dairy eggs
82918,14,14,32,4,produce
38670,14,1,131,1,dry goods pasta
38670,14,1,45,2,snacks
38670,14,1,72,3,pantry
38670,14,1,24,4,produce
38670,14,1,119,5,frozen
38670,14,1,130,6,breakfast
38670,14,1,117,7,snacks
38670,14,1,107,8,snacks
120371,13,3,98,1,beverages
120371,13,3,31,2,beverages
120371,13,3,31,3,beverages
191132,15,7,130,1,breakfast
191132,15,7,123,2,produce
191132,15,7,120,3,dairy eggs
191132,15,7,83,4,produce
191132,15,7,24,5,produce
191132,15,7,35,6,meat seafood
191132,15,7,88,7,pantry
191132,15,7,69,8,canned goods
191132,15,7,59,9,canned goods
191132,15,7,83,10,produce
191132,15,7,83,11,produce
191132,15,7,123,12,produce
165705,11,3,84,1,dairy eggs
165705,11,3,24,2,produce
165705,11,3,36,3,dairy eggs
165705,11,3,120,4,dairy eggs
165705,11,3,120,5,dairy eggs
165705,11,3,83,6,produce
165705,11,3,75,7,household
165705,11,3,112,8,bakery
165705,11,3,83,9,produce
165705,11,3,123,10,produce
179622,12,7,117,1,snacks
179622,12,7,117,2,snacks
179622,12,7,117,3,snacks
179622,12,7,117,4,snacks
179622,12,7,77,5,beverages
179622,12,7,77,6,beverages
179622,12,7,66,7,international
32908,11,,24,1,produce
32908,11,,84,2,dairy eggs
32908,11,,21,3,dairy eggs
32908,11,,86,4,dairy eggs
32908,11,,116,5,frozen
32908,11,,83,6,produce
32908,11,,24,7,produce
32908,11,,96,8,deli
32908,11,,123,9,produce
32908,11,,21,10,dairy eggs
32908,11,,83,11,produce
32908,11,,123,12,produce
32908,11,,67,13,deli
32908,11,,51,14,pantry
32908,11,,72,15,pantry
32908,11,,72,16,pantry
155994,7,3,106,1,meat seafood
155994,7,3,17,2,pantry
155994,7,3,17,3,pantry
155994,7,3,98,4,beverages
22534,4,4,34,1,frozen
22534,4,4,37,2,frozen
22534,4,4,77,3,beverages
22534,4,4,116,4,frozen
22534,4,4,84,5,dairy eggs
22534,4,4,86,6,dairy eggs
22534,4,4,21,7,dairy eggs
22534,4,4,37,8,frozen
15169,14,4,107,1,snacks
15169,14,4,67,2,deli
15169,14,4,108,3,dairy eggs
15169,14,4,83,4,produce
15169,14,4,67,5,deli
15169,14,4,83,6,produce
15169,14,4,61,7,snacks
58192,12,2,84,1,dairy eggs
