BALANCE_FREQUENCY,ONEOFF_PURCHASES,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,MINIMUM_PAYMENTS,TENURE
1,4515.34,1,0.333333,594.756686,12
1,1247.8,1,0,171.357189,12
1,1445.14,0.833333,1,1876.262988,12
1,1318.78,0.75,1,2074.581541,12
1,45,0.083333,0,968.941265,12
1,0,0,0,2864.380327,12
1,1147.83,0.25,0.916667,9827.045323,12
1,226.9,0.090909,0.818182,910.707525,11
1,45.65,0.083333,0,312.560636,12
1,405.6,0.166667,0,,12
1,213.34,0.25,0,,12
1,0,0,0,2906.110765,12
1,739.44,0.666667,0,389.138517,12
1,0,0,0,,12
0.363636,0,0,0.166667,121.781205,12
0,0,0,0,,7
0.666667,20,0.111111,0,60.913577,9
0.272727,0,0,1,54.79166,12
1,1540.41,0.916667,0.833333,2103.796148,12
0.090909,0,0,1,,12
1,0,0,0,214.828158,12
1,808,0.25,0,1026.976,12
1,0,0,1,176.610605,12
1,0,0,0,1439.230899,12
1,177.64,0.166667,0.5,498.365419,12
1,2721.59,0.916667,1,2469.571326,12
0.818182,585.63,0.333333,0.833333,108.319927,12
1,0,0,0,,12
1,857.12,0.25,1,1834.031569,12
1,0,0,0,2760.115734,12
0.818182,1252.36,0.416667,0.333333,136.639824,12
1,667.95,0.583333,1,207.720441,12
0.636364,0,0,0.5,99.372848,12
1,0,0,0,2439.136113,12
0.272727,0,0,0.166667,147.049952,12
1,0,0,0,709.207016,12
1,4100.08,0.916667,1,2167.446204,12
1,1174.39,0.25,0,,12
1,0,0,1,630.00413,12
1,0,0,0,1412.648089,12
1,0,0,0,3406.258999,12
1,12462.44,0.916667,0,2000.990921,12
0.75,0,0,0,84.697292,8
1,1077.3,0.166667,0.583333,1086.428906,12
1,150.64,0.083333,0,2894.077159,12
0.090909,0,0,0,,12
0.272727,907,0.25,0,,12
1,351.54,0.25,0.833333,3572.279251,12
0.636364,0,0,0.5,173.632006,12
1,796.33,0.083333,0,2600.875721,12
1,0,0,0.916667,185.091037,12
1,1169.63,0.166667,0.25,709.610053,12
1,1390.5,0.5,1,615.92402,12
1,714.52,0.333333,0.916667,184.524376,12
1,9449.07,0.75,1,18621.01331,12
1,720.6,1,0,689.118919,12
1,148.66,0.25,0.166667,509.384182,12
0.818182,0,0,0,172.959728,12
1,0,0,0,,12
1,1300.48,0.416667,0.583333,3068.125648,12
1,3436.53,1,1,546.439139,12
1,1025,0.083333,0,819.682666,12
0.909091,0,0,0.833333,,12
1,28.65,0.083333,0,194.324456,12
0.909091,164.96,0.25,0.416667,992.652486,12
1,80,0.083333,0.833333,468.196732,12
1,0,0,0.5,12854.9397,12
1,3322.28,1,1,329.29648,12
1,0,0,1,193.011166,12
1,3959.81,0.75,1,6042.391629,12
0.636364,789.53,0.5,1,95.342224,12
0.363636,0,0,0.25,288.903628,12
1,3262.25,1,0.5,,12
1,0,0,0,2827.997525,12
1,5087.31,1,0.666667,1058.128452,12
1,295,0.083333,0,362.838185,12
1,0,0,0,721.798576,12
1,0,0,0,1177.149934,12
1,115,0.083333,1,208.298424,12
1,525.64,0.083333,0.166667,616.005839,12
1,0,0,0.833333,86.102479,6
1,0,0,0,1972.526015,12
0.363636,0,0,1,243.199498,12
1,4330.53,0.666667,0.75,241.894073,12
1,0,0,1,1747.037345,12
1,1393.5,0.416667,0.333333,167.219681,12
0.666667,0,0,0,193.171404,9
1,7141.38,1,0.833333,347.641073,12
0.363636,0,0,0.166667,43.452683,12
0.857143,0,0,0,461.365626,7
1,4685.54,1,1,3192.306018,12
1,0,0,0,408.799147,12
1,766.61,0.833333,0,,12
1,0,0,0,1739.74883,12
1,1614.7,0.416667,0.916667,186.230835,12
0.454545,0,0,0.416667,189.036967,12
1,150.5,0.333333,1,303.361632,12
0,0,0,0.083333,,12
1,0,0,0.166667,931.618475,12
0.090909,173,0.083333,0.083333,,12
1,493,0.416667,0.416667,136.827952,12
0.818182,0,0,0.75,197.638558,12
1,0,0,0.166667,374.595505,12
1,159.07,0.333333,0.916667,693.894717,12
1,969.56,0.416667,0,,12
1,311.45,0.333333,0,286.299328,12
0.727273,280.4,0.25,0,55.79974,12
1,66.14,0.083333,0,,12
0.363636,79.2,0.083333,0,24.815878,12
1,0,0,0.5,1755.253802,12
1,756.54,0.5,0,1431.201171,12
1,603.75,0.166667,0.833333,1825.176503,12
0.818182,56.8,0.083333,0.666667,187.046284,12
0.909091,1082.79,1,0.583333,182.429461,12
1,873,0.166667,0,762.682834,12
1,0,0,0.166667,3463.174962,12
0.454545,370,0.166667,0,68.725483,12
0.909091,313.75,0.166667,0.416667,313.052687,12
0.909091,0,0,0.833333,169.78292,12
1,842.8,0.166667,0.166667,2557.044576,12
1,8208,0.666667,1,2925.275522,12
0.090909,0,0,0.083333,29.700051,12
1,645.32,0.166667,0,808.217224,12
1,862.1,0.333333,0.083333,2391.987571,12
1,978.71,0.583333,0.666667,1887.413517,12
0.454545,600,0.083333,0.166667,59.04439,12
1,153.72,0.916667,0.166667,1731.549385,12
1,876.13,0.5,0.083333,941.496383,12
0.818182,0,0,0,647.20869,12
1,336.41,0.75,0,217.027653,12
0.727273,0,0,0.166667,48.659935,12
0.181818,0,0,0.083333,,12
1,103.1,0.166667,0.916667,471.496776,12
0.545455,67.08,0.083333,0.166667,75.515008,12
1,441.35,0.333333,0.25,2661.324808,12
1,3456.25,0.916667,1,582.589765,12
1,6099.16,0.75,1,8517.258683,12
1,1792.7,1,0.083333,985.954762,12
0.857143,75.99,0.142857,0,99.401747,7
1,1598.56,0.916667,0.75,1370.519926,12
1,9325.22,0.333333,0,1824.680131,12
1,100,0.083333,0,104.857518,12
1,430.69,0.416667,0.833333,3868.70983,12
1,1356.33,0.416667,0.75,739.224894,12
0.333333,0,0,0,25.537,9
0.909091,1158.84,0.666667,0.583333,726.696049,12
1,482,0.25,0.583333,438.324017,12
1,0,0,1,2733.317012,12
1,1038.81,0.916667,0,422.331098,12
1,45.65,0.083333,0,628.211031,12
1,1386.3,0.666667,0.75,1075.456585,12
1,1189.52,1,0,,12
1,0,0,0.416667,1774.584333,12
1,42.88,0.083333,0.25,975.504012,12
0.545455,0,0,0.416667,69.921472,12
1,83,0.166667,0.333333,1089.040271,12
0.818182,1112.2,0.25,0,,12
0.636364,1670.5,0.083333,0.333333,169.879335,12
1,4783.34,1,0.916667,318.305326,12
1,630.03,0.090909,0,213.369694,11
1,2080.02,0.666667,1,1328.897516,12
0.363636,0,0,0.166667,41.436595,12
1,1023.42,0.583333,0.75,236.619362,12
1,0,0,1,75.967742,12
1,0,0,1,2501.560923,12
1,3543.73,1,0.5,1912.298544,12
1,1041.63,0.25,0,716.70488,12
1,0,0,1,1382.292833,12
1,0,0,0.416667,71.965063,12
1,1703.23,1,0,183.298253,12
1,0,0,0,1249.937085,12
0.363636,0,0,0.272727,149.977816,11
0.818182,29.68,0.083333,0,75.595199,12
1,1096.71,0.75,0.416667,229.655091,12
1,0,0,1,2216.638394,12
1,0,0,0,568.063083,12
0.818182,3183,0.166667,0,629.080506,12
1,1340.34,0.833333,1,655.633916,12
1,4944.88,0.833333,0.75,1737.893866,12
1,4072.76,0.5,0.833333,7256.951816,6
0.727273,74.8,0.083333,0.5,312.343947,12
1,200,0.083333,1,9952.672511,12
1,657.78,0.5,1,289.439818,12
1,560.73,0.916667,0,670.049653,12
1,569.9,0.166667,0,92.012927,12
1,6099.08,0.75,0.25,608.36886,12
1,3016.98,0.916667,1,208.73456,12
1,150.8,0.166667,0,989.783286,12
1,1005.1,0.5,0.75,193.369942,12
1,26547.43,1,1,1971.129435,12
1,44.71,0.083333,0.916667,1055.547896,12
0.181818,47.95,0.083333,0,86.245988,12
1,126.57,0.25,0,524.426392,12
0.272727,380.89,0.083333,0,,12
1,0,0,0.666667,570.250342,12
1,630,0.166667,1,479.831475,12
1,4332.65,0.416667,0.333333,1741.158024,12
1,0,0,1,1623.389428,12
1,148.12,0.083333,0.416667,272.270427,12
1,922.84,0.25,1,2173.680619,12
0.818182,0,0,0,144.621645,12
1,0,0,0,1793.262654,12
1,0,0,0,609.206784,12
1,351.87,0.583333,0.083333,1114.588285,12
0.636364,843.34,0.5,0,122.850835,12
1,0,0,0,2019.027883,12
1,758.52,1,0.666667,233.614975,12
1,399.41,0.25,0.166667,2092.915898,12
1,1779,0.166667,0,761.012234,12
1,0,0,0,1229.820066,12
1,0,0,0.916667,163.287618,12
0.818182,2252.37,0.25,0.75,197.416104,12
1,245.98,0.166667,0,388.258009,12
1,0,0,0,1351.998523,12
1,733.9,1,0,857.535876,12
1,1641.07,0.666667,0,137.046292,12
1,674.73,0.25,0,1403.477006,12
1,1526.31,0.25,1,1013.086448,12
1,0,0,0,964.118618,12
0.727273,1462.35,0.5,0.25,199.955286,12
1,0,0,0,2576.552758,12
1,451.5,0.166667,1,165.05215,12
1,446.07,0.583333,0.666667,173.686552,12
1,544.45,0.083333,1,186.240772,12
0.909091,0,0,0,648.139459,11
1,303.7,0.166667,0.583333,,12
1,459.02,0.916667,0.083333,162.94308,12
1,1296.68,1,1,956.330023,12
1,2399.78,1,1,,12
1,0,0,0,339.553093,12
1,0,0,0,627.015802,12
1,0,0,0,137.6915,11
0.857143,0,0,0,1148.631716,7
1,126.2,0.833333,0,417.290247,12
1,0,0,1,286.122587,12
0.090909,159,0.083333,0.75,,12
1,0,0,0.083333,1172.289863,12
1,350,0.083333,0.666667,2199.077716,12
1,0,0,0,2488.976669,12
1,445.2,0.166667,0,579.587654,12
1,0,0,0,401.970276,12
1,0,0,1,148.28357,12
0.727273,420.6,0.083333,0.666667,1479.309409,12
1,678,1,0,1933.173023,12
1,0.05,0.083333,0,367.409536,12
1,3032.97,1,0.083333,192.66679,12
1,0,0,0,1122.076137,12
0.909091,1080,0.75,0,169.005281,12
1,2417.41,0.5,1,280.821958,12
1,1383.56,0.916667,0.833333,197.186568,12
0.909091,0,0,0,2077.873573,11
1,0,0,0.166667,797.250949,12
0.181818,0,0,0.166667,53.655347,12
1,4397.64,0.833333,0.5,163.459999,12
0.454545,0,0,0.25,149.301101,12
1,0,0,1,890.639118,12
1,216.94,0.166667,0,300.210049,12
0.454545,2246.3,0.333333,0,406.790252,12
1,361.73,0.166667,0,432.68808,12
0.6,330,0.1,0,85.297166,10
1,1797.96,0.833333,0.916667,176.283228,12
0.454545,90,0.083333,0.5,74.667401,12
1,422.18,1,0,440.30634,12
1,464.5,0.5,0.833333,237.328382,12
1,959.1,0.333333,1,834.025674,12
0.909091,0,0,0.666667,155.792859,12
1,0,0,0,1164.178674,12
1,2480.85,0.666667,0.5,563.827502,12
1,905.17,0.166667,0.416667,4951.58548,12
0.090909,1098.31,0.083333,0,,12
0.181818,636.15,0.166667,0,57.150516,12
1,1702.62,1,1,444.12429,12
1,202.97,0.25,1,185.657751,12
1,0,0,0.333333,2463.472147,12
0.636364,0,0,0,214.263752,12
1,0,0,0,529.340488,12
1,603.77,0.416667,0.25,219.465695,12
1,0,0,0,354.381003,12
0.75,287,0.375,0.375,134.448872,8
1,4719.5,0.25,0.666667,762.263884,12
1,439.38,0.083333,0,265.708814,12
1,0,0,1,1300.596775,12
1,259.13,0.083333,0,2503.374595,12
1,0,0,1,7490.453967,12
1,0,0,0,2459.741299,12
1,0,0,0,2384.817152,12
1,5439.96,1,0.25,202.73209,12
1,0.02,0.166667,1,3598.719728,12
0.181818,0,0,0,,12
1,3529.88,1,1,373.931063,12
1,0,0,1,3073.416298,12
0.545455,64.12,0.166667,0,76.462301,12
1,2762.92,0.75,0.833333,2861.890896,12
0.636364,0,0,0.583333,157.269321,12
0.909091,180.91,0.166667,0,220.455533,12
1,0,0,0,559.030296,12
1,0,0,0.166667,3430.627754,12
1,0,0,0,190.365154,12
0.727273,343.21,0.25,0,3245.693485,12
0.272727,16.5,0.083333,0,67.1925,12
1,4584.78,0.75,0.75,232.131169,12
0.3,42.3,0.1,0,645.320421,10
1,46.67,0.083333,0,642.547142,12
1,0,0,0,27631.45072,12
1,0,0,1,183.858351,12
1,0,0,0.5,165.308304,12
1,98,0.166667,0,221.375942,12
1,857.36,1,0,411.871046,12
0.818182,1247.12,0.083333,0.166667,481.558276,12
1,1137.4,0.25,1,17494.90735,12
1,0,0,0.416667,184.776562,12
1,0,0,0,724.956358,12
1,5,0.25,0.5,1121.510137,12
1,1180,0.166667,0.166667,106.039362,6
1,0,0,0,1606.963379,12
1,199.65,0.166667,0.833333,483.836254,12
1,223,0.166667,0.666667,212.770698,12
1,0,0,0.916667,1430.50774,12
0.875,260,0.125,0.75,1241.283569,8
1,1063.14,0.916667,0.833333,208.701639,12
1,0,0,0,,12
1,518.39,0.083333,0.333333,994.384835,12
0.363636,330,0.083333,0.25,,12
1,0,0,0,671.420908,12
1,0,0,0,691.692633,12
0.363636,97.92,0.166667,0.166667,248.700571,12
1,0,0,0,291.307669,11
1,279.99,1,0.583333,179.894243,12
0.125,0,0,0.125,,8
1,340,0.083333,0,2009.821743,12
1,0,0,1,173.336309,12
1,290,0.166667,1,199.730537,12
1,226.23,0.166667,0,4980.192685,12
1,2267,0.583333,0.916667,1868.983718,12
0.545455,1028,0.083333,0.416667,98.678839,12
1,67.9,0.083333,1,982.544984,12
1,64.99,0.083333,0.416667,263.163209,12
1,0,0,0,479.771774,12
1,0,0,0,,12
1,2643.53,0.75,1,1365.123434,12
0.909091,0,0,0.833333,362.970189,12
1,431.01,0.333333,0.333333,858.977427,12
1,0,0,0,269.178995,12
1,0,0,0,631.106468,11
1,137.34,0.083333,0,1716.092764,12
1,0,0,0,1886.223361,12
1,0,0,0,1035.039239,11
1,0,0,1,1284.011712,12
0.636364,1377.72,0.25,0,200.759856,12
1,0,0,0,1855.766226,12
0.818182,0,0,0,277.582819,12
1,360.7,0.083333,0,2610.053885,12
1,0,0,0.833333,1225.908506,12
1,1376,0.333333,1,1194.234398,12
1,0,0,0,204.676682,12
1,759.15,1,0,1384.111493,12
0.363636,243.36,0.083333,0,134.985783,12
0.9,0,0,0,1943.431564,10
0.818182,0,0,0,373.893161,12
1,0,0,0.636364,210.248259,11
1,3055.87,0.75,0,784.387878,12
1,457.73,0.083333,0.5,3024.949485,12
1,480,0.333333,1,179.585842,12
0.454545,903.36,0.25,0,41.302445,12
1,0,0,0,327.072615,12
0.545455,54,0.083333,0.416667,157.471831,12
1,1476.19,1,0,382.989143,12
1,2506.89,0.75,0,1646.973276,12
1,492.46,0.166667,0.666667,5620.295192,12
1,0,0,0.833333,1206.257247,6
0.875,1037.96,0.875,0.5,312.026316,8
0.818182,186.32,0.090909,0.545455,97.186371,11
0.909091,0,0,1,137.826186,12
1,752.28,0.416667,0.416667,177.766827,12
1,34.65,0.083333,0.25,411.612521,12
1,2688.46,0.25,0.416667,606.899183,12
1,1892.38,0.916667,0.333333,301.000749,12
1,291.41,0.166667,1,180.338402,12
1,457.62,0.333333,0.75,568.410749,12
1,167.4,0.166667,1,261.258072,12
1,0,0,0,286.374289,12
1,0,0,0,1189.693931,12
1,1077.75,0.666667,0.833333,466.772558,12
1,0,0,1,199.803721,12
1,2816.46,0.833333,0.916667,3101.01703,12
0.363636,1726.67,0.166667,0,128.834658,12
1,217,0.166667,0,1599.353926,12
1,0,0,0,911.08543,12
1,518.44,0.416667,1,1584.520204,12
1,0,0,0,494.954634,12
1,0,0,0.333333,385.347014,12
1,0,0,0.166667,4483.503862,12
1,1085.19,0.25,0.583333,1919.690041,12
0.727273,3725.33,0.666667,1,108.937025,12
0.909091,0,0,0,1111.251287,11
1,70,0.083333,0,218.497636,12
0.545455,0,0,0.5,127.78905,12
1,2305.33,0.583333,0.833333,207.584121,12
0.545455,0,0,0,19.492021,12
0.727273,0,0,0,164.391437,12
1,2941.39,1,0.416667,212.075152,12
1,6558.55,1,0,169.703195,12
1,0,0,0,1819.542692,12
1,2905.71,0.916667,0.916667,197.534405,12
1,262.1,0.166667,0,1998.044046,12
0.727273,828.85,0.75,0.166667,123.522314,12
1,1482,0.333333,1,1520.54755,12
1,0,0,0,2539.198217,12
1,7280.27,1,1,216.277252,12
1,1527.3,0.25,0.083333,307.812023,12
1,609.9,1,0.083333,817.39586,12
1,174,0.25,0,3872.099498,12
1,0,0,0,585.776445,12
1,0,0,0,1206.741644,12
0.636364,0,0,0.333333,140.181283,12
1,598.95,0.833333,0.083333,1342.522124,12
1,306.31,0.166667,0.916667,457.255269,12
1,40624.06,0.666667,0.416667,15914.48462,12
1,727.27,0.583333,0,206.656437,12
1,815.11,0.363636,0.909091,280.393252,11
0.818182,0,0,0.833333,186.774371,12
0.727273,0,0,0.583333,156.644197,12
1,0,0,0.75,1502.744095,12
1,22257.39,1,0.333333,534.032339,12
1,0,0,0,1187.962476,12
1,1564.16,0.916667,0.583333,1549.64691,12
0.909091,0,0,0.75,132.13182,12
1,4503.31,0.5,1,451.636081,12
1,1172.68,0.083333,0,760.028047,12
1,353.6,0.25,0.583333,3451.70216,12
1,2220.39,0.5,1,287.515344,12
1,907.37,1,0,184.723457,12
1,0,0,0,427.594038,12
0.181818,0,0,0,,12
1,0,0,1,163.044353,12
1,0,0,0.583333,19977.00572,12
1,529.3,0.5,0,3905.740148,8
1,210.43,0.083333,1,5067.863223,12
0.454545,0,0,0,706.541302,12
1,185,0.083333,0.916667,163.155119,12
1,3636.53,0.833333,0.75,957.077692,12
1,0,0,0,361.250401,12
1,331.95,0.2,0,1088.959964,10
0.818182,1490,0.083333,0,747.486806,12
1,270.52,0.25,0.833333,149.982513,12
1,900,0.111111,0.888889,1058.84479,9
0.909091,0,0,0.833333,168.227161,12
1,1222.96,0.416667,1,874.422722,12
1,59,0.083333,0.333333,368.652894,12
1,162.95,0.166667,0.5,590.361005,12
1,4300.42,0.583333,1,1090.368608,12
0.181818,1023.8,0.083333,0,116.063003,12
1,4438.8,0.833333,0.666667,694.340138,12
1,1549.61,0.666667,0,1770.058766,12
0.454545,734.11,0.333333,0,102.554198,12
1,1282.85,0.666667,1,6174.387335,12
1,0,0,1,1113.097672,12
0.272727,482.03,0.166667,0.166667,112.874987,12
1,0,0,0.083333,421.385587,12
0.833333,277,0.333333,0,109.433095,6
0.909091,7479.95,0.818182,0,319.437528,11
1,2606.42,0.75,0.833333,1143.849403,12
1,6300.4,0.833333,0,182.288774,12
1,0,0,1,1991.577214,12
0.8,4924.41,0.8,0,149.408227,10
0.833333,1308.11,0.5,0,207.007715,6
1,40761.25,1,0.916667,2974.069421,12
1,4020.33,0.666667,0.75,7060.930982,12
1,227.8,0.333333,0,6510.915661,12
1,2327.49,0.666667,0,360.670758,12
0.818182,1199,0.090909,0,422.041626,11
1,0,0,1,203.755356,12
1,0,0,0,1228.291582,12
1,286,0.166667,0.333333,1468.475204,6
1,0,0,0,1306.960035,12
1,133.39,0.25,0,169.473399,12
1,2912.65,0.5,1,280.014823,12
1,0,0,0,189.52525,12
1,0,0,0.25,8269.955787,12
1,10133.7,1,0.833333,281.611634,12
1,0,0,0,256.494357,12
1,0,0,1,1442.933291,12
0.909091,258.74,0.666667,0,105.034384,12
1,0,0,1,38512.12477,12
0.727273,194.99,0.25,0.166667,93.027601,12
1,709,0.3,0,2042.09446,10
1,1628.07,0.333333,0,507.655831,12
1,0,0,0,10636.14839,12
1,0,0,0,663.360789,12
0.090909,165,0.083333,0,,12
1,11681.64,1,0,1198.614519,12
0.727273,0,0,0.416667,445.215577,12
1,0,0,0,3082.801095,12
1,1017.65,0.333333,0.25,2902.18515,12
1,1494.5,0.416667,0,462.41515,12
0.909091,646.24,0.083333,0,183.086463,12
1,0,0,0,505.965923,12
1,2124.75,0.75,0.75,182.527745,12
1,0,0,0,2183.319473,12
1,0,0,0,1708.136351,12
1,9805.73,0.583333,1,653.194444,12
1,7564.81,1,1,4467.520244,12
0.454545,24.64,0.083333,0,26.849523,12
1,23032.97,1,0.916667,537.372671,12
0.545455,273.6,0.166667,0.25,149.47264,12
1,1456.94,1,0.25,950.496396,12
1,824.21,0.25,1,512.073385,12
1,9400.96,1,0.916667,2372.97281,12
1,2094.38,0.416667,0,556.378998,12
0.909091,0,0,0,1384.882852,11
1,411.38,0.25,0,513.547978,12
0.545455,0,0,0.5,147.337498,12
0.363636,525,0.083333,0,82.631551,12
1,1777.14,0.916667,0.333333,1338.082337,12
1,1515.46,1,0.166667,193.898848,12
1,0,0,0.083333,424.623595,12
1,386.12,0.636364,0,752.309324,11
0.909091,0,0,0,570.229181,11
1,0,0,0,1536.151742,12
1,198.4,0.166667,0.5,234.277687,12
1,963.13,0.666667,0,639.521888,12
0.545455,2011.81,0.416667,0,165.070133,12
1,0,0,0.75,2293.582697,12
0.636364,0,0,0.666667,152.094041,12
1,0,0,0.916667,886.539252,12
1,907.05,0.416667,1,309.542834,12
1,1860.18,0.916667,1,2500.582848,12
0.818182,117.57,0.083333,0,542.296729,12
1,769.41,1,0.916667,129.304142,12
1,817.32,0.416667,1,3215.771919,12
1,11.06,0.083333,0,1243.56477,12
1,0,0,0,2452.882838,12
1,2904.89,1,1,208.069929,12
1,0,0,0.916667,508.775831,12
0.3,0,0,0.2,139.674841,10
1,5050.97,0.583333,1,1256.196236,12
1,3756.01,1,1,204.762568,12
0.454545,0,0,0,56.686755,12
1,7469.7,0.666667,0.75,1183.069705,12
1,70,0.083333,0.916667,56.500841,12
1,10929.53,1,0.583333,887.495688,12
1,794.52,0.666667,0,1196.302503,12
0.9,150.5,0.2,0.8,160.592311,10
1,801.35,0.416667,0.333333,518.001095,12
1,1544.79,0.833333,1,1646.768053,12
1,3301.6,1,0.916667,235.661045,12
1,0,0,1,183.177287,12
1,0,0,0,390.202217,12
0.636364,472.71,0.083333,0,108.579632,12
1,78.6,0.181818,0.818182,1017.637027,11
1,989.14,0.333333,0.333333,3913.712987,12
0.636364,468,0.333333,0.333333,161.420141,12
1,0,0,0,369.566083,12
0.545455,0,0,0,3614.801495,12
1,0,0,0,96.13968,12
1,1149.34,0.666667,0.916667,212.73674,12
1,1136.7,0.666667,0.75,185.468819,12
1,0,0,0,1537.255049,12
1,2183.56,0.666667,0.75,205.024983,12
1,3161.46,0.583333,1,8096.79502,12
1,3755.24,1,1,445.131364,12
1,2475.93,0.583333,1,340.717801,12
1,433.63,0.25,0,1663.455756,12
1,2549.25,1,0.333333,1355.651702,12
1,0,0,0.333333,216.48223,12
1,0,0,0,10592.53719,12
1,0,0,0.888889,965.13244,9
1,464.9,0.25,1,684.951673,12
1,10588.97,0.909091,0.909091,2117.186083,11
0.363636,0,0,0.272727,131.19619,11
0,0,0,0,,12
1,4192.8,0.5,1,1805.370785,12
0.818182,1234,0.166667,0.583333,173.931803,12
0.272727,202,0.166667,0,43.909196,12
0.909091,2874.89,0.5,1,2068.25205,12
0.181818,0,0,0.166667,28.994494,12
1,926.9,0.166667,0.083333,810.909841,12
1,3660.97,1,0,188.409994,12
1,2281.56,0.916667,0,243.235999,12
1,45.65,0.083333,0,439.870516,12
1,1310.9,0.416667,0.75,609.161536,12
0.818182,220,0.25,0.5,66.969941,12
1,0,0,1,15914.72154,12
0.125,80,0.125,0,,8
1,1653.98,1,1,195.370312,12
1,12650,0.25,0,9170.428051,12
1,228.35,0.333333,0,507.937007,12
0.9,0,0,0,1178.426048,10
1,567.47,0.25,0.916667,219.067764,12
1,0,0,0.583333,1395.576542,12
1,0,0,0,1441.148962,12
1,367,0.166667,1,168.938924,12
1,0,0,0,2166.204489,12
1,3073.82,0.75,1,207.134142,12
1,0,0,0.5,7281.645049,12
1,66.32,0.083333,0,2385.432813,12
0.2,0,0,0.1,48.782575,10
1,362.36,0.25,0,2036.877611,8
1,326.02,0.083333,1,1002.627519,12
1,1286.2,1,0,218.00803,12
1,0,0,1,4093.868044,12
1,0,0,0,1066.060177,12
0.818182,0,0,0.5,481.452747,12
1,0,0,0.142857,276.463002,7
1,270.07,0.5,0.166667,894.910352,12
0.818182,2025,0.75,0,118.312302,12
1,2949.37,0.916667,1,199.621137,12
1,1687.29,0.5,0,261.032083,12
1,0,0,0.857143,930.115009,7
1,1587.34,1,1,176.211823,12
1,300,0.166667,0.416667,220.685812,12
1,320.03,0.25,1,389.191998,12
1,328.92,0.166667,0,1400.681628,6
1,0,0,1,24302.09819,12
1,1439.07,1,1,173.710118,12
1,65,0.083333,0.833333,266.50397,12
1,0,0,0,891.059927,12
